entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-30 07:15:00+00:00,2026-01-30 12:00:00+00:00,short,82561.1484375,83134.16964285714,SL,-0.694,-351.87,9648.13
2026-02-01 02:15:00+00:00,2026-02-01 14:30:00+00:00,short,78525.6171875,77342.55245535714,TP,1.507,399.58,10047.72
2026-02-01 20:45:00+00:00,2026-02-01 23:00:00+00:00,short,77010.90625,75833.94866071429,TP,1.528,416.65,10464.36
2026-02-03 14:30:00+00:00,2026-02-03 15:00:00+00:00,short,77697.1484375,77084.23102678571,TP,0.789,349.96,10814.32
2026-02-04 13:15:00+00:00,2026-02-04 13:45:00+00:00,short,75753.953125,75136.11049107143,TP,0.816,376.12,11190.43
2026-02-04 22:30:00+00:00,2026-02-05 03:15:00+00:00,short,72782.125,71190.06919642857,TP,2.187,475.94,11666.38
2026-02-05 10:45:00+00:00,2026-02-05 12:15:00+00:00,short,70689.8359375,69562.79185267857,TP,1.594,485.47,12151.85
2026-02-05 14:45:00+00:00,2026-02-05 15:15:00+00:00,short,69347.7890625,67734.50055803571,TP,2.326,518.63,12670.48
2026-02-11 02:45:00+00:00,2026-02-11 03:15:00+00:00,short,68665.5234375,68094.92745535714,TP,0.831,450.42,13120.9
2026-02-11 11:30:00+00:00,2026-02-11 12:15:00+00:00,short,66884.953125,67285.19977678571,SL,-0.598,-471.31,12649.59
2026-02-12 06:30:00+00:00,2026-02-12 09:45:00+00:00,short,67170.6015625,67582.14732142857,SL,-0.613,-453.81,12195.78
2026-02-16 05:30:00+00:00,2026-02-16 08:15:00+00:00,short,68286.6484375,68642.00892857143,SL,-0.52,-390.51,11805.27
2026-02-23 21:15:00+00:00,2026-02-24 01:15:00+00:00,short,64528.46875,63788.48911830357,TP,1.147,475.65,12280.92
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14453125,62794.196986607145,SL,0.524,248.24,12529.16
2026-03-08 21:00:00+00:00,2026-03-08 22:00:00+00:00,short,66760.640625,66169.67745535714,TP,0.885,479.36,13008.52
