macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,win_rate,net_return
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,7.0,7.0,100.0,10.0,14.0,1.5,14.0,14.0,120.0,50.0,69.23076923076923,7.981298482338917
8.0,21.0,7.0,10.0,3.0,20.0,12.0,34.0,55.0,14.0,7.0,100.0,20.0,14.0,2.0,20.0,14.0,60.0,50.0,65.51724137931035,-2.142576978584781
8.0,21.0,7.0,10.0,3.0,20.0,12.0,34.0,89.0,7.0,14.0,60.0,10.0,14.0,1.5,20.0,14.0,60.0,0.0,80.0,2.8001513279750534
8.0,21.0,7.0,10.0,3.0,20.0,12.0,34.0,89.0,14.0,14.0,60.0,10.0,20.0,2.0,20.0,14.0,60.0,0.0,75.0,10.495558193688208
8.0,21.0,7.0,10.0,5.0,14.0,8.0,21.0,55.0,7.0,7.0,100.0,20.0,20.0,2.0,20.0,7.0,60.0,0.0,65.78947368421053,7.476228348719552
8.0,21.0,7.0,10.0,5.0,14.0,8.0,21.0,55.0,14.0,7.0,100.0,20.0,20.0,2.0,14.0,7.0,120.0,50.0,66.66666666666666,17.309386265410208
8.0,21.0,7.0,10.0,5.0,14.0,8.0,21.0,89.0,7.0,7.0,100.0,20.0,20.0,1.5,20.0,7.0,120.0,0.0,65.11627906976744,-0.2484334263216039
8.0,21.0,7.0,10.0,5.0,14.0,8.0,21.0,89.0,14.0,14.0,60.0,10.0,20.0,2.0,14.0,14.0,60.0,50.0,65.78947368421053,5.7951204334110935
8.0,21.0,7.0,10.0,5.0,14.0,8.0,34.0,55.0,7.0,14.0,60.0,10.0,20.0,1.5,20.0,7.0,60.0,50.0,68.88888888888889,-10.570730902789402
8.0,21.0,7.0,10.0,5.0,14.0,8.0,34.0,55.0,14.0,14.0,60.0,20.0,20.0,2.0,14.0,7.0,120.0,0.0,70.83333333333334,-8.844784609536257
8.0,21.0,7.0,10.0,5.0,14.0,8.0,34.0,89.0,7.0,14.0,60.0,20.0,20.0,1.5,14.0,14.0,60.0,50.0,66.66666666666666,15.156738663373376
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,89.0,7.0,7.0,60.0,10.0,14.0,2.0,14.0,14.0,120.0,0.0,78.125,6.375733684041773
8.0,21.0,7.0,10.0,3.0,14.0,8.0,21.0,55.0,7.0,14.0,60.0,10.0,20.0,1.5,14.0,14.0,120.0,0.0,69.6969696969697,1.894587835101364
