PB%,1.0,1.5,2.0,2.5,3.0
0.1,-7.95,-4.4,-3.48,-3.12,-4.07
0.15,-7.01,-3.11,-2.95,-1.82,-2.46
0.2,-14.18,-11.03,-10.75,-10.04,-10.63
0.3,-19.22,-19.11,-18.27,-16.6,-18.63
0.4,-22.43,-22.82,-21.38,-20.97,-22.89
