symbol_id,lookback,candle_interval,macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate,net_return,max_drawdown,calmar_ratio,run_timestamp
1,YTD,15m,8,21,7,14,5,20,12,21,89,14,14,60,20,20,1.5,14,14,60,50,,,67.3913043478261,21.718151067750554,-0.0250867245033485,41.4225251358721,2026-04-25 15:43:44.154578
1,YTD,15m,8,21,7,14,5,20,12,34,89,14,7,60,20,20,2.0,20,14,120,50,,,70.58823529411765,21.56165882203914,-0.0300704027768235,53.693716025379786,2026-04-25 15:44:07.158883
1,YTD,15m,8,21,9,10,3,14,8,34,55,14,7,60,10,14,1.5,20,7,60,50,,,69.6969696969697,30.698930963021727,-0.0121823764125401,153.9126554167908,2026-04-25 15:44:47.115394
1,YTD,15m,8,21,9,10,3,14,12,21,55,14,7,100,10,14,1.5,14,14,60,50,,,67.44186046511628,20.881920392516815,-0.0227837744198404,48.96338781411721,2026-04-25 15:45:16.753634
1,YTD,15m,8,21,9,10,3,14,12,34,89,7,14,100,20,20,1.5,14,14,60,0,,,70.0,22.327720119531094,-0.0268502353626544,63.89288119864122,2026-04-25 15:45:58.993646
1,YTD,15m,8,21,9,10,3,20,8,21,89,7,14,100,10,14,1.5,20,14,60,0,,,66.66666666666666,20.83480999396492,-0.0201825350773502,58.4801728060209,2026-04-25 15:46:26.054369
1,YTD,15m,8,21,9,10,3,20,8,34,55,14,7,100,20,20,2.0,14,14,60,50,,,68.18181818181817,20.914834260044003,-0.0152835011757274,73.02498840860619,2026-04-25 15:46:44.824094
1,YTD,15m,8,21,9,10,3,20,12,34,55,14,14,60,20,20,1.5,14,7,120,0,,,71.42857142857143,23.360413625964267,-0.0289228749389443,44.59041440872551,2026-04-25 15:47:43.961549
1,YTD,15m,8,21,9,10,3,20,12,34,89,14,7,60,20,14,1.5,20,14,120,50,,,69.23076923076923,20.42232034271672,-0.015326851939703,62.0757177982269,2026-04-25 15:47:54.542543
1,YTD,15m,8,21,9,10,5,14,12,34,89,14,7,60,20,20,2.0,20,7,60,50,,,70.96774193548387,22.450753689126287,-0.0392796037382653,32.12625651977582,2026-04-25 15:49:43.132239
1,YTD,15m,8,21,9,10,5,20,8,21,89,7,7,100,10,20,1.5,14,7,60,0,,,66.66666666666666,23.28306681627665,-0.0125839955546018,95.96254083308988,2026-04-25 15:50:05.074247
1,YTD,15m,8,21,9,10,5,20,8,21,89,7,14,60,10,20,1.5,20,7,120,50,,,66.66666666666666,20.23489362402231,-0.039091357583731,26.55273376687446,2026-04-25 15:50:06.136692
1,YTD,15m,8,21,9,10,5,20,8,21,89,14,14,100,10,14,2.0,14,7,60,0,,,66.66666666666666,21.37479114962265,-0.0286436430572803,45.11472767763959,2026-04-25 15:50:15.624818
1,YTD,15m,8,21,9,10,5,20,12,34,55,7,7,60,10,20,2.0,14,14,120,50,,,66.66666666666666,23.34308754400961,-0.0225244256908972,50.63356356092434,2026-04-25 15:51:11.304940
1,YTD,15m,8,21,9,10,5,20,12,34,89,14,14,100,10,14,2.0,20,14,120,50,,,70.0,20.59665742515509,-0.0523784898189185,20.996314283833858,2026-04-25 15:51:37.739303
1,YTD,15m,8,21,9,14,3,14,8,21,89,7,7,100,10,14,2.0,14,14,120,50,,,80.0,20.308039900600026,-0.0289002976135653,36.11719376170411,2026-04-25 15:51:56.001974
1,YTD,15m,8,21,9,14,3,14,8,34,89,14,14,100,20,20,1.5,20,14,120,0,,,74.07407407407408,22.125391813841716,-0.0334144473742743,34.44862728628079,2026-04-25 15:52:36.760954
1,YTD,15m,8,21,9,14,3,14,12,21,89,7,7,100,10,14,2.0,20,14,60,50,,,65.625,23.417747635055136,-0.0097333027529363,216.91376347381456,2026-04-25 15:52:54.380796
1,YTD,15m,8,21,9,14,3,20,8,21,55,14,14,100,20,14,1.5,20,14,60,50,,,80.0,23.619610795094896,-0.0259923653362764,52.32975441657155,2026-04-25 15:53:51.438975
1,YTD,15m,8,21,9,14,3,20,8,21,89,14,14,60,10,20,2.0,20,7,60,50,,,73.33333333333333,22.346764650344305,-0.009908175768394,165.5422200974935,2026-04-25 15:54:03.927695
1,YTD,15m,8,21,9,14,5,14,8,34,89,7,14,60,20,14,1.5,20,7,60,50,,,76.74418604651163,21.205651690387803,-0.0277606287047074,53.68184395238181,2026-04-25 15:56:14.098484
1,YTD,15m,8,21,9,14,5,20,8,34,55,14,14,60,20,14,2.0,14,14,60,50,,,70.0,20.1456843115709,-0.011753680081973,129.2626396892298,2026-04-25 15:58:01.171802
1,YTD,15m,8,26,7,10,3,14,8,34,55,14,14,100,20,20,2.0,14,14,60,0,,,66.66666666666666,23.696301173396872,-0.0190122533942557,74.50743934903119,2026-04-25 15:59:59.077549
1,YTD,15m,8,26,7,10,3,14,12,21,55,7,7,100,20,14,1.5,14,14,120,50,,,76.92307692307693,22.710187189608234,-0.0145154144186766,93.54977971515513,2026-04-25 16:00:16.014509
1,YTD,15m,8,26,7,10,3,20,8,34,55,7,14,100,20,14,1.5,14,14,120,0,,,75.0,20.453931220078157,-0.0322227093137646,47.388848930359785,2026-04-25 16:01:47.369628
1,YTD,15m,8,26,7,10,3,20,12,21,55,7,7,100,10,20,2.0,14,14,60,0,,,66.66666666666666,20.74158967208578,-0.0107442936959155,112.09655941427172,2026-04-25 16:02:13.094708
1,YTD,15m,8,26,7,10,3,20,12,21,55,7,14,60,10,20,1.5,14,7,120,50,,,73.68421052631578,23.893320312961645,-0.0147791988320588,87.49301868050294,2026-04-25 16:02:15.437983
1,YTD,15m,8,26,7,10,3,20,12,21,89,14,14,60,20,14,1.5,20,7,60,0,,,68.75,20.137509387737804,-0.0228860180814618,52.50295327411763,2026-04-25 16:02:36.473246
1,YTD,15m,8,26,7,10,3,20,12,34,55,14,14,100,20,20,2.0,14,7,120,50,,,73.33333333333333,22.588229681751013,-0.0190904855440719,66.1363608513653,2026-04-25 16:02:52.876774
1,YTD,15m,8,26,7,10,5,14,8,21,55,14,7,100,20,20,1.5,20,7,120,0,,,80.0,32.18581063323383,-0.0220789940481874,75.64986097289436,2026-04-25 16:03:16.849999
1,YTD,15m,8,26,7,10,5,14,8,34,55,14,14,100,20,20,1.5,20,7,120,50,,,66.66666666666666,23.65256275209192,-0.011716109762271,110.9850929886472,2026-04-25 16:03:50.573787
1,YTD,15m,8,26,7,10,5,14,12,21,89,7,14,100,10,20,1.5,14,14,60,50,,,73.91304347826086,20.27694203037256,-0.0370878497258213,32.98098826818127,2026-04-25 16:04:22.952994
