entry_time,exit_time,direction,entry,exit,pnl,equity,exit_reason
2024-05-08 13:30:00+00:00,2024-05-10 15:30:00+00:00,long,7.57390022277832,7.629700183868408,175.6269670445247,10175.626967044525,SL
2024-06-05 15:30:00+00:00,2024-06-06 18:30:00+00:00,long,7.598499774932861,7.657700061798096,232.0733959748367,10407.700363019361,SL
2024-09-27 15:30:00+00:00,2024-09-30 16:30:00+00:00,long,7.614699840545654,7.687300205230713,365.3378775077307,10773.038240527092,SL
2024-10-03 13:30:00+00:00,2024-10-04 15:30:00+00:00,long,7.710000038146973,7.738399982452393,131.76269310682557,10904.800933633918,SL
2024-10-07 15:30:00+00:00,2024-10-07 18:30:00+00:00,long,7.747300148010254,7.728125959946522,-202.31923739728757,10702.481696236631,SL
2024-10-09 13:30:00+00:00,2024-10-09 19:30:00+00:00,long,7.780099868774414,7.840099811553955,382.3506772905676,11084.832373527199,SL
2024-11-29 14:30:00+00:00,2024-12-02 20:30:00+00:00,long,8.975000381469727,9.112583376281744,560.1196045270877,11644.951978054287,SL
2024-12-06 14:30:00+00:00,2024-12-06 16:30:00+00:00,long,9.265000343322754,9.227783255029216,-188.9588149904273,11455.99316306386,SL
2025-03-12 14:30:00+00:00,2025-03-12 17:30:00+00:00,short,7.740099906921387,7.80042454454758,-165.3341720579596,11290.658991005901,SL
2025-06-06 13:30:00+00:00,2025-06-06 16:30:00+00:00,long,7.960000038146973,7.9197755177257765,-174.56305745335894,11116.095933552542,SL
2025-10-07 18:30:00+00:00,2025-10-08 16:30:00+00:00,long,8.395000457763672,8.48550033569336,609.1820044229287,11725.27793797547,SL
2025-10-21 13:30:00+00:00,2025-10-22 18:30:00+00:00,short,8.156499862670898,8.090707943652003,220.36532588986822,11945.643263865339,SL
2025-11-20 16:30:00+00:00,2025-11-21 15:30:00+00:00,short,8.12969970703125,8.035115389010269,280.37820127339626,12226.021465138734,SL
