entry_time,exit_time,direction,entry,exit,dollar_pnl,equity,result,max_runup,bars,pnl_pct,year
2002-11-21,2002-11-25,long,1.3577314615249634,1.3141320857138963,-103.67692908102663,9896.323070918974,SL,0.020712169958420734,2,-3.211192864463609,2002
2003-07-25,2003-08-04,long,1.9356321096420288,1.8803916953928659,-103.06507588188566,9793.257995037087,SL,0.012819120029662123,6,-2.8538694917278966,2003
2003-08-06,2003-09-11,long,1.9048686027526855,1.911184549331665,6.125324948844177,9799.383319985931,MB,0.08338570594787575,25,0.33156862210088667,2003
2004-12-09,2005-01-06,long,2.5738980770111084,2.650640767372964,219.3124742888868,10018.695794274818,TP,0.09660887718200728,19,2.9815745637827114,2004
2005-01-14,2005-02-16,long,2.6907424926757812,2.640430559374583,-106.55658807189138,9912.139206202926,SL,0.0455223289829263,22,-1.869815987154019,2005
2005-07-08,2005-08-12,long,2.3823037147521973,2.479405641555786,132.6863447494827,10044.82555095241,MB,0.1272162736529574,25,4.07596756879881,2005
2006-05-24,2006-06-29,long,2.626814126968384,2.7040176391601562,204.57727606672552,10249.402827019136,MB,0.08474721076218872,25,2.939055009608667,2006
2006-07-17,2006-08-04,long,2.778615951538086,2.9122040271759033,249.9546224312962,10499.357449450432,TP,0.15648884452737377,14,4.807720029242275,2006
2006-09-11,2006-10-13,long,3.1073923110961914,3.291289759696076,239.87047886161406,10739.227928312046,TP,0.22097412823923435,24,5.9180634496392726,2006
2009-07-21,2009-07-30,long,1.8542110919952393,2.0406405195043997,247.44091549293705,10986.668843804982,TP,0.2429192066192627,7,10.054379909277294,2009
2011-04-01,2011-05-09,long,2.386833667755127,2.501098155975342,129.40355470861883,11116.072398513601,MB,0.1188578154330604,25,4.7872832432300685,2011
2012-10-11,2012-10-15,long,2.3038058280944824,2.2566101408534394,-117.6054544732312,10998.46694404037,SL,0.014861356135033255,2,-2.0485965729186226,2012
2013-02-22,2013-03-25,long,2.1382267475128174,2.272416852442174,251.5698332948368,11250.036777335206,TP,0.13419906891570976,21,6.275765892716772,2013
2013-09-23,2013-10-22,long,2.5408220291137695,2.660977152145433,255.6822887028022,11505.71906603801,TP,0.20313675710306178,21,4.728986196391459,2013
2015-04-02,2015-05-04,long,2.499833106994629,2.622661642426481,261.74902492525445,11767.468090963264,TP,0.13320425968397753,21,4.913469426745848,2015
2016-04-22,2016-05-06,long,2.311185359954834,2.460706797964226,269.3165261810531,12036.784617144318,TP,0.16529926142898121,10,6.469469762144646,2016
2016-08-11,2016-08-22,long,2.713923692703247,2.6132208769766434,-124.18829695111425,11912.596320193205,SL,0.06599607837578736,7,-3.7105986434827507,2016
2017-02-08,2017-02-28,long,2.7034194469451904,2.7980484944403106,268.2646707341223,12180.860990927327,TP,0.09846854209899902,13,3.5003464816400967,2017
2017-11-10,2017-11-15,long,3.040825366973877,3.006902094153979,-134.83798851424126,12046.023002413087,SL,0.01073820855806229,3,-1.1155942458365238,2017
2018-04-04,2018-05-09,long,3.374814748764038,3.5059189796447754,220.4919344303447,12266.514936843432,MB,0.13992425576931922,25,3.884783036720808,2018
2019-04-30,2019-05-06,long,3.3251094818115234,3.2939454138339066,-138.29713986534938,12128.217796978082,SL,0.03246757137685785,4,-0.9372343421497995,2019
2019-08-08,2019-08-14,long,3.367173194885254,3.2906453609466557,-178.30981388093284,11949.90798309715,SL,0.0199410609336641,4,-2.2727620324028535,2019
2020-09-09,2020-09-17,long,4.091021537780762,3.995618658116754,-125.57654457252143,11824.331438524629,SL,0.036106311766151755,6,-2.3320062918994218,2020
2021-03-08,2021-04-13,long,5.269280433654785,5.512149810791016,157.04209329982123,11981.373531824449,MB,0.28738750163244386,25,4.60915641507764,2021
2024-09-11,2024-10-09,long,5.629483699798584,5.877280674950693,271.7762002029285,12253.149732027377,TP,0.3308919421195915,20,4.401770897053584,2024
2025-01-14,2025-02-20,long,6.844178199768066,7.220969200134277,237.89895601111326,12491.04868803849,MB,0.4009676562609261,25,5.505277468944037,2025
2025-08-20,2025-09-15,long,7.273765563964844,7.511966488019932,280.6028902324106,12771.651578270901,TP,0.24542257521021238,17,3.2747951794757584,2025
2025-10-13,2025-10-17,long,7.68364143371582,7.559637817908919,-137.1363306927124,12634.515247578189,SL,0.02740855076629778,4,-1.6138652080089744,2025
