,1.0,1.5,2.0,2.5,3.0
0.1,0.562,0.777,0.821,0.84,0.79
0.15,0.615,0.843,0.849,0.907,0.874
0.2,0.47,0.616,0.621,0.648,0.624
0.3,0.463,0.533,0.551,0.598,0.539
0.4,0.453,0.516,0.545,0.555,0.504
