trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
24,25.0,0.223,-10.57,-11.08,-0.954,0,10,14,6.0,2.5,25
24,25.0,0.223,-10.57,-11.08,-0.954,0,10,14,5.0,2.5,25
24,25.0,0.279,-10.58,-10.99,-0.963,1,11,12,4.0,2.5,30
24,25.0,0.27,-10.7,-11.11,-0.964,0,12,12,5.0,2.5,30
24,25.0,0.27,-10.7,-11.11,-0.964,0,12,12,6.0,2.5,30
31,25.8,0.28,-10.77,-10.77,-1.0,3,4,24,2.0,1.5,5
28,25.0,0.185,-10.79,-10.87,-0.993,1,5,22,3.0,2.0,10
24,25.0,0.205,-10.8,-11.31,-0.955,2,8,14,3.0,2.5,25
24,25.0,0.26,-10.84,-11.33,-0.956,3,10,11,3.0,2.5,30
27,40.7,0.449,-11.5,-13.29,-0.866,10,17,0,2.0,1.5,0
26,30.8,0.453,-11.65,-12.09,-0.964,5,17,4,3.0,1.5,50
25,32.0,0.23,-11.8,-11.94,-0.988,1,9,15,4.0,2.0,15
25,36.0,0.396,-11.84,-13.05,-0.907,6,19,0,2.5,2.0,0
25,32.0,0.349,-11.91,-12.15,-0.98,4,16,5,3.0,2.0,50
25,32.0,0.219,-11.95,-12.09,-0.988,0,10,15,5.0,2.0,15
25,32.0,0.219,-11.95,-12.09,-0.988,0,10,15,6.0,2.0,15
26,34.6,0.465,-12.01,-13.9,-0.864,7,19,0,2.5,1.5,0
26,30.8,0.247,-12.4,-12.54,-0.989,2,10,14,3.0,2.0,15
25,32.0,0.299,-12.78,-13.02,-0.982,4,16,5,2.5,2.0,50
31,22.6,0.366,-12.83,-12.83,-1.0,1,9,21,4.0,1.0,5
26,30.8,0.218,-12.84,-12.97,-0.989,2,10,14,2.5,2.0,15
25,28.0,0.234,-12.94,-13.55,-0.954,1,13,11,4.0,2.0,25
25,24.0,0.219,-12.95,-13.47,-0.961,1,12,12,4.0,2.0,20
25,28.0,0.224,-13.08,-13.7,-0.955,0,14,11,5.0,2.0,25
25,28.0,0.224,-13.08,-13.7,-0.955,0,14,11,6.0,2.0,25
25,24.0,0.209,-13.09,-13.62,-0.962,0,13,12,6.0,2.0,20
28,21.4,0.227,-13.09,-13.19,-0.992,1,7,20,4.0,1.5,10
26,30.8,0.382,-13.09,-13.41,-0.976,5,17,4,2.5,1.5,50
25,24.0,0.209,-13.09,-13.62,-0.962,0,13,12,5.0,2.0,20
31,22.6,0.35,-13.12,-13.12,-1.0,0,10,21,6.0,1.0,5
31,22.6,0.35,-13.12,-13.12,-1.0,0,10,21,5.0,1.0,5
26,26.9,0.242,-13.21,-13.73,-0.962,3,12,11,3.0,2.0,20
28,21.4,0.214,-13.28,-13.39,-0.992,0,8,20,5.0,1.5,10
28,21.4,0.214,-13.28,-13.39,-0.992,0,8,20,6.0,1.5,10
29,24.1,0.258,-13.29,-13.76,-0.966,5,8,16,2.0,1.5,10
28,21.4,0.212,-13.29,-13.39,-0.992,2,7,19,2.5,1.5,10
25,20.0,0.259,-13.29,-13.31,-0.999,1,14,10,4.0,2.0,30
25,28.0,0.258,-13.34,-13.52,-0.987,1,11,13,4.0,1.5,15
27,33.3,0.342,-13.35,-13.5,-0.989,8,14,5,2.0,1.5,50
27,33.3,0.326,-13.43,-14.92,-0.9,6,14,7,2.0,1.5,25
25,20.0,0.25,-13.44,-13.46,-0.999,0,15,10,5.0,2.0,30
25,20.0,0.25,-13.44,-13.46,-0.999,0,15,10,6.0,2.0,30
26,26.9,0.249,-13.52,-14.14,-0.957,3,13,10,3.0,2.0,25
25,28.0,0.246,-13.53,-13.71,-0.987,0,12,13,5.0,1.5,15
25,28.0,0.246,-13.53,-13.71,-0.987,0,12,13,6.0,1.5,15
27,29.6,0.322,-13.64,-14.01,-0.973,7,14,6,2.0,1.5,30
28,21.4,0.19,-13.66,-13.76,-0.993,1,7,20,3.0,1.5,10
31,22.6,0.32,-13.67,-13.67,-1.0,1,9,21,3.0,1.0,5
26,23.1,0.279,-13.72,-13.79,-0.995,4,14,8,3.0,2.0,30
26,26.9,0.279,-13.84,-14.02,-0.987,2,12,12,3.0,1.5,15
26,26.9,0.202,-13.85,-14.37,-0.964,3,12,11,2.5,2.0,20
31,22.6,0.297,-14.09,-14.09,-1.0,1,9,21,2.5,1.0,5
26,26.9,0.211,-14.16,-14.77,-0.959,3,13,10,2.5,2.0,25
26,26.9,0.247,-14.4,-14.58,-0.988,2,12,12,2.5,1.5,15
26,23.1,0.232,-14.57,-14.58,-0.999,4,14,8,2.5,2.0,30
25,24.0,0.259,-14.78,-15.58,-0.948,1,14,10,4.0,1.5,25
25,24.0,0.245,-14.84,-15.52,-0.956,1,13,11,4.0,1.5,20
26,26.9,0.273,-14.89,-15.57,-0.956,3,13,10,3.0,1.5,20
25,24.0,0.248,-14.97,-15.77,-0.949,0,15,10,6.0,1.5,25
25,24.0,0.248,-14.97,-15.77,-0.949,0,15,10,5.0,1.5,25
25,24.0,0.235,-15.03,-15.71,-0.957,0,14,11,6.0,1.5,20
25,24.0,0.235,-15.03,-15.71,-0.957,0,14,11,5.0,1.5,20
26,19.2,0.479,-15.2,-20.03,-0.759,1,25,0,6.0,1.0,0
28,32.1,0.285,-15.23,-16.55,-0.92,6,15,7,2.0,1.5,20
26,23.1,0.278,-15.26,-16.06,-0.95,3,14,9,3.0,1.5,25
25,16.0,0.277,-15.4,-15.42,-0.999,1,15,9,4.0,1.5,30
25,16.0,0.267,-15.59,-15.61,-0.999,0,16,9,6.0,1.5,30
25,16.0,0.267,-15.59,-15.61,-0.999,0,16,9,5.0,1.5,30
26,19.2,0.302,-15.66,-15.8,-0.991,4,15,7,3.0,1.5,30
26,26.9,0.229,-15.73,-16.4,-0.959,3,13,10,2.5,1.5,20
32,21.9,0.256,-15.78,-15.78,-1.0,3,10,19,2.0,1.0,5
26,19.2,0.45,-15.93,-20.03,-0.795,1,25,0,5.0,1.0,0
28,25.0,0.244,-16.01,-16.3,-0.982,5,13,10,2.0,1.5,15
26,23.1,0.235,-16.09,-16.89,-0.953,3,14,9,2.5,1.5,25
26,26.9,0.278,-16.17,-16.17,-1.0,1,16,9,4.0,1.0,15
28,25.0,0.264,-16.3,-16.3,-1.0,1,14,13,4.0,1.0,10
27,22.2,0.431,-16.34,-19.04,-0.858,5,22,0,3.0,1.0,0
26,19.2,0.431,-16.38,-19.77,-0.829,2,24,0,4.0,1.0,0
26,26.9,0.265,-16.45,-16.45,-1.0,0,17,9,6.0,1.0,15
26,26.9,0.265,-16.45,-16.45,-1.0,0,17,9,5.0,1.0,15
28,25.0,0.25,-16.57,-16.57,-1.0,0,15,13,5.0,1.0,10
28,25.0,0.25,-16.57,-16.57,-1.0,0,15,13,6.0,1.0,10
27,25.9,0.296,-16.71,-16.71,-1.0,2,17,8,3.0,1.0,15
26,19.2,0.25,-16.77,-16.79,-0.999,4,15,7,2.5,1.5,30
28,25.0,0.236,-16.8,-16.8,-1.0,2,14,12,2.5,1.0,10
28,28.6,0.363,-17.09,-18.17,-0.94,8,20,0,2.0,1.0,0
28,25.0,0.222,-17.11,-17.11,-1.0,1,14,13,3.0,1.0,10
29,24.1,0.249,-17.4,-17.4,-1.0,4,15,10,2.0,1.0,10
27,25.9,0.26,-17.47,-17.47,-1.0,2,17,8,2.5,1.0,15
28,25.0,0.269,-18.12,-18.12,-1.0,4,18,6,2.0,1.0,15
28,21.4,0.296,-18.2,-18.2,-1.0,1,22,5,4.0,0.7,15
27,22.2,0.355,-18.24,-20.14,-0.906,5,22,0,2.5,1.0,0
28,25.0,0.281,-18.49,-18.96,-0.975,5,19,4,2.0,1.0,25
28,21.4,0.283,-18.51,-18.51,-1.0,0,23,5,5.0,0.7,15
28,21.4,0.283,-18.51,-18.51,-1.0,0,23,5,6.0,0.7,15
