macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate
8,21,7,10,3,14,8,21,55,7,14,60,10,20,2.0,20,14,120,0,Long,Buy,68.75
8,21,7,10,3,14,8,21,55,7,14,60,20,14,1.5,14,7,60,50,Long,Buy,80.0
8,21,7,10,3,14,8,21,55,7,14,60,20,14,1.5,14,14,60,0,Long,Buy,65.38461538461539
8,21,7,10,3,14,8,21,55,7,14,60,20,14,2.0,14,7,120,0,Long,Buy,65.3061224489796
8,21,7,10,3,14,8,21,55,7,14,60,20,14,2.0,14,14,120,0,Long,Buy,74.19354838709677
8,21,7,10,3,14,8,21,55,7,14,60,20,14,2.0,20,14,120,50,Long,Buy,65.21739130434783
8,21,7,10,3,14,8,21,55,7,14,60,20,20,1.5,14,7,60,50,Long,Buy,68.29268292682927
8,21,7,10,3,14,8,21,55,7,14,60,20,20,1.5,20,7,120,0,Long,Buy,69.76744186046511
8,21,7,10,3,14,8,21,55,7,14,60,20,20,1.5,20,7,120,50,Long,Buy,69.56521739130434
8,21,7,10,3,14,8,21,55,7,14,60,20,20,2.0,14,7,120,0,Long,Buy,71.42857142857143
8,21,7,10,3,14,8,21,55,7,14,60,20,20,2.0,20,14,60,50,Long,Buy,68.42105263157895
8,21,7,10,3,14,8,21,55,7,14,60,20,20,2.0,20,14,120,0,Long,Buy,75.0
8,21,7,10,3,14,8,21,55,7,14,100,10,14,1.5,20,14,120,0,Long,Buy,66.66666666666666
8,21,7,10,3,14,8,21,55,7,14,100,10,14,2.0,20,7,120,0,Long,Buy,71.42857142857143
8,21,7,10,3,14,8,21,55,7,14,100,10,14,2.0,20,14,60,0,Long,Buy,66.66666666666666
8,21,7,10,3,14,8,21,55,7,14,100,10,20,1.5,20,7,60,50,Long,Buy,73.33333333333333
8,21,7,10,3,14,8,21,55,7,14,100,10,20,1.5,20,7,120,0,Long,Buy,72.0
8,21,7,10,3,14,8,21,55,7,14,100,10,20,2.0,14,14,120,0,Long,Buy,68.75
8,21,7,10,3,14,8,21,55,7,14,100,20,14,1.5,14,7,60,0,Long,Buy,72.0
8,21,7,10,3,14,8,21,55,7,14,100,20,14,1.5,14,7,60,50,Long,Buy,65.78947368421053
8,21,7,10,3,14,8,21,55,7,14,100,20,14,1.5,14,14,120,50,Long,Buy,66.66666666666666
8,21,7,10,3,14,8,21,55,7,14,100,20,14,1.5,20,7,120,50,Long,Buy,68.0
8,21,7,10,3,14,8,21,55,7,14,100,20,14,2.0,20,14,60,0,Long,Buy,71.42857142857143
8,21,7,10,3,14,8,21,55,7,14,100,20,14,2.0,20,14,120,50,Long,Buy,66.66666666666666
8,21,7,10,3,14,8,21,55,7,14,100,20,20,1.5,14,7,120,0,Long,Buy,69.23076923076923
8,21,7,10,3,14,8,21,55,7,14,100,20,20,1.5,14,14,120,0,Long,Buy,67.3913043478261
8,21,7,10,3,14,8,21,55,7,14,100,20,20,1.5,20,7,120,0,Long,Buy,65.625
8,21,7,10,3,14,8,21,55,7,14,100,20,20,1.5,20,14,60,50,Long,Buy,68.96551724137932
