entry_idx,exit_idx,entry,exit,qty,pnl,exit_type,equity
1539,1576,93279.5325,93817.32521428571,0.37189049737432467,-200.0,stop_loss,9800.0
1549,1576,93308.349,93808.49571428572,0.3918850097414271,-196.0,stop_loss,9604.0
1677,1687,91973.6,92579.56285714285,0.31698312484971297,-192.08,stop_loss,9411.92
1751,1850,92334.205,91700.61,0.1842516123134886,116.74090030376503,max_bars_exit,9528.660900303765
1753,1847,92610.1395,91657.02451071428,0.24036162121175605,229.09226402594143,trailing_stop,9757.753164329706
1776,1841,92749.478,91759.27371428572,0.39417131616597617,390.31012657318826,take_profit,10148.063290902894
1784,1847,92614.905,91650.36693571428,0.38544943971012136,371.78065645801576,trailing_stop,10519.843947360909
1791,1841,92674.125,91755.05271428572,0.4578462047383045,420.793757894443,take_profit,10940.637705255353
1884,1911,91763.646,91064.58981785714,0.5039530763778007,352.2915135518127,trailing_stop,11292.929218807165
1895,1911,91728.2925,91068.51380614203,0.38206500275718963,252.07834848797899,trailing_stop,11545.007567295144
1896,1955,91574.7,90835.62169542773,0.3631831387684116,268.4207784501908,trailing_stop,11813.428345745335
1897,1955,91630.93,90836.24301328488,0.35764641830882854,284.216954475295,trailing_stop,12097.645300220629
1901,1955,91569.485,90837.47924185632,0.34074530257758745,249.42752354720622,trailing_stop,12347.072823767836
1907,2006,91524.03,91329.61,0.23300908689657776,45.30162667443224,max_bars_exit,12392.374450442268
1918,2017,91256.775,91054.6095,0.1953492861274872,39.49288610460422,max_bars_exit,12431.867336546873
1919,2018,91332.12,91042.265,0.1892099676212292,54.843455164850624,max_bars_exit,12486.710791711723
1959,2058,90678.15,90709.6285,0.2826307494266598,-8.896792045830498,max_bars_exit,12477.813999665892
1969,2068,90893.43,90973.113,0.3623629072091906,-28.87416353515158,max_bars_exit,12448.939836130741
1991,2006,90791.93,91267.60657142857,0.5234203483574378,-248.97879672261482,stop_loss,12199.961039408126
2126,2189,90111.15,89539.49216071428,0.41717367486903995,238.48060158251846,trailing_stop,12438.441640990644
2135,2199,89751.9,90366.38742857143,0.4048395805234839,-248.7688328198129,stop_loss,12189.672808170832
2169,2206,89840.5,90483.43671428571,0.37918733017800527,-243.79345616341666,stop_loss,11945.879352007414
2170,2192,89886.085,89339.30830714286,0.3806042678978792,208.1055428885195,trailing_stop,12153.984894895933
2183,2196,89657.6425,90171.7235,0.47284318599194075,-243.07969789791866,stop_loss,11910.905196998016
2186,2196,89675.6,90216.41799999999,0.44047739524196133,-238.21810393996032,stop_loss,11672.687093058055
2188,2196,89524.87,90116.54728571426,0.3945626230679773,-233.45374186116112,stop_loss,11439.233351196894
2190,2200,89443.285,90412.88307354285,0.235958252462254,-228.78466702393789,stop_loss,11210.448684172956
2444,2481,90386.21,89925.95182857141,0.5633488357962416,259.2859050400041,trailing_stop,11469.73458921296
2445,2481,90360.44,89926.24939642857,0.5596414010700896,242.99103771418555,trailing_stop,11712.725626927146
2479,2488,90024.35,91126.42154826972,0.21255835241035848,-234.2545125385429,stop_loss,11478.471114388603
2480,2488,89916.002,91057.1295482697,0.2011777058891164,-229.56942228777206,stop_loss,11248.901692100831
2483,2488,90009.425,91246.22497684114,0.1819033296043746,-224.97803384201663,stop_loss,11023.923658258815
2554,2653,90172.371,90399.1955,0.33295499326215355,-75.52234986919217,max_bars_exit,10948.401308389622
3146,3164,90514.755,90963.6962857143,0.48774312618498206,-218.96802616779246,stop_loss,10729.43328222183
3318,3336,90440.806,90840.33014285716,0.5371106339402298,-214.58866564443656,stop_loss,10514.844616577393
3321,3334,90532.449,90122.93099285713,0.4772536054142149,195.4439453909752,trailing_stop,10710.288561968368
3333,3336,90111.915,90664.33128571429,0.38776150663695835,-214.20577123936735,stop_loss,10496.082790729
3484,3509,91003.73,91467.00657142856,0.45312383306426207,-209.92165581458002,stop_loss,10286.16113491442
4074,4141,96047.59,97006.25820900772,0.2145927243287058,-205.7232226982884,stop_loss,10080.437912216132
4105,4139,96168.75,96758.973,0.3415806538279994,-201.60875824432264,stop_loss,9878.829153971808
4214,4313,95435.09,95627.703,0.10749755117609243,-20.70542582468043,max_bars_exit,9858.123728147128
4246,4272,96142.4105584,95167.29051949714,0.19393905619862076,189.11386002518444,trailing_stop,10047.237588172313
4268,4367,95424.085,95216.3345,0.19619744624136568,40.760117555368645,max_bars_exit,10087.997705727681
4301,4400,95466.9255,95644.805,0.34406213710254113,-61.2016009167299,max_bars_exit,10026.796104810952
4302,4401,95458.214,95581.15,0.33293024912134084,-40.92911310597682,max_bars_exit,9985.866991704976
