TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
4.0,1.5,0.03,0.8,15,0.7282549285805073,1.0135002531993076,43
4.0,1.5,0.03,0.8,20,-0.6069267857577332,0.9864199132843225,37
4.0,1.5,0.03,1.0,15,20.24693975206211,1.5095598950009688,32
4.0,1.5,0.03,1.0,20,13.629759938679097,1.3884175517892916,29
4.0,1.5,0.03,1.2,15,10.10236562120701,1.3343460619419236,25
4.0,1.5,0.03,1.2,20,4.489844664017717,1.1730603182434933,22
4.0,2.0,0.03,0.8,15,1.9727525434364068,1.0453613225116685,41
4.0,2.0,0.03,0.8,20,-0.03821856708191573,0.9989875940517176,36
4.0,2.0,0.03,1.0,15,20.653318982138114,1.6662763163837435,32
4.0,2.0,0.03,1.0,20,10.455689755277975,1.3419746908310684,29
4.0,2.0,0.03,1.2,15,13.439988939405879,1.6004163632546025,25
4.0,2.0,0.03,1.2,20,4.188998952371015,1.1890798786653183,22
6.0,1.5,0.03,0.8,15,-5.642492343435935,0.8936150555192066,43
6.0,1.5,0.03,0.8,20,-4.324566185874323,0.9019458464273241,37
6.0,1.5,0.03,1.0,15,12.641696675658686,1.324876644736842,32
6.0,1.5,0.03,1.0,20,9.379619975069552,1.2719131937197061,29
6.0,1.5,0.03,1.2,15,6.597017807590011,1.2197747284048095,25
6.0,1.5,0.03,1.2,20,3.954108508406451,1.152764952922586,22
6.0,2.0,0.03,0.8,15,-2.5227985888558013,0.9415157634108965,41
6.0,2.0,0.03,0.8,20,-2.4462769503979853,0.9346662535789069,36
6.0,2.0,0.03,1.0,15,15.33421999504425,1.5000097822471776,32
6.0,2.0,0.03,1.0,20,7.794835317838289,1.2576300429014327,29
6.0,2.0,0.03,1.2,15,11.331691389109011,1.5057508201111336,25
6.0,2.0,0.03,1.2,20,4.391574660522801,1.1979838691498619,22
8.0,1.5,0.03,0.8,15,-3.275424444835917,0.9390188729829814,43
8.0,1.5,0.03,0.8,20,-1.9244365757288162,0.9568909897396837,37
8.0,1.5,0.03,1.0,15,15.467444736059633,1.3913834506177996,32
8.0,1.5,0.03,1.0,20,12.1235350448319,1.3464448800672102,29
8.0,1.5,0.03,1.2,15,9.271128063418654,1.3047311022146846,25
8.0,1.5,0.03,1.2,20,6.56191830848567,1.2505622739925844,22
8.0,2.0,0.03,0.8,15,-0.07746954153190488,0.9982217863256284,41
8.0,2.0,0.03,0.8,20,0.0009717312872803419,1.0000263967859275,36
8.0,2.0,0.03,1.0,15,18.227513136635153,1.5850279874698299,32
8.0,2.0,0.03,1.0,20,10.498994220004686,1.341575461016905,29
8.0,2.0,0.03,1.2,15,14.12457644223255,1.622034517838033,25
8.0,2.0,0.03,1.2,20,7.010358808177641,1.3118668950330314,22
10.0,1.5,0.03,0.8,15,-2.8989824702999822,0.9461326069506794,43
10.0,1.5,0.03,0.8,20,-1.54273669710705,0.9655076806117655,37
10.0,1.5,0.03,1.0,15,15.916832005443515,1.401767976999134,32
10.0,1.5,0.03,1.0,20,12.559908165954049,1.3581028682214744,29
10.0,1.5,0.03,1.2,15,9.696399913637288,1.3180424222744818,25
10.0,1.5,0.03,1.2,20,6.976646196492764,1.265904127393099,22
10.0,2.0,0.03,0.8,15,0.311418540431907,1.0071249671199347,41
10.0,2.0,0.03,0.8,20,0.39016509851548253,1.0102757050714557,36
10.0,2.0,0.03,1.0,15,18.687642304782702,1.598286521080721,32
10.0,2.0,0.03,1.0,20,10.92904479742689,1.3546782202317205,29
10.0,2.0,0.03,1.2,15,14.568737408071918,1.6402489134208453,25
10.0,2.0,0.03,1.2,20,7.426831979906057,1.3297019417734333,22
12.0,1.5,0.03,0.8,15,-2.8989824702999822,0.9461326069506794,43
12.0,1.5,0.03,0.8,20,-1.54273669710705,0.9655076806117655,37
12.0,1.5,0.03,1.0,15,15.916832005443515,1.401767976999134,32
12.0,1.5,0.03,1.0,20,12.559908165954049,1.3581028682214744,29
12.0,1.5,0.03,1.2,15,9.696399913637288,1.3180424222744818,25
12.0,1.5,0.03,1.2,20,6.976646196492764,1.265904127393099,22
12.0,2.0,0.03,0.8,15,0.311418540431907,1.0071249671199347,41
12.0,2.0,0.03,0.8,20,0.39016509851548253,1.0102757050714557,36
12.0,2.0,0.03,1.0,15,18.687642304782702,1.598286521080721,32
12.0,2.0,0.03,1.0,20,10.92904479742689,1.3546782202317205,29
12.0,2.0,0.03,1.2,15,14.568737408071918,1.6402489134208453,25
12.0,2.0,0.03,1.2,20,7.426831979906057,1.3297019417734333,22
