adx_thresh,pb_pct,risk_pct,sl_mult,tp_mult,trail_act,trail_dist,trades,wr,pf,net_pct,max_dd,calmar
15,0.5,3.5,4.0,8.0,2.5,0.3,9,77.8,3.435,18.34,3.73,4.915
15,0.5,3.5,4.0,8.0,3.0,0.3,9,77.8,3.435,18.34,3.73,4.915
15,0.5,3.0,4.0,8.0,3.5,0.4,9,77.8,3.648,18.31,3.25,5.635
15,0.4,2.5,4.0,8.0,2.0,0.4,10,90.0,6.474,18.31,2.86,6.403
15,0.4,2.5,4.0,7.0,2.0,0.1,10,90.0,6.486,18.24,2.86,6.377
12,0.4,3.5,4.0,8.0,3.5,0.1,11,72.7,2.342,18.21,7.58,2.401
15,0.5,3.0,4.0,7.0,3.5,0.1,9,77.8,3.636,18.16,3.25,5.589
12,0.4,3.5,4.0,7.0,2.0,0.2,12,83.3,2.968,18.13,4.0,4.53
12,0.4,3.5,4.0,7.0,2.0,0.3,12,83.3,2.964,18.12,4.0,4.526
12,0.4,3.0,4.0,8.0,2.0,0.2,12,83.3,3.123,18.04,3.57,5.053
15,0.4,3.0,5.0,8.0,2.0,0.1,10,90.0,5.613,18.03,3.35,5.388
12,0.5,3.5,4.0,8.0,3.5,0.3,11,72.7,2.501,17.98,3.73,4.818
15,0.4,3.0,4.0,6.0,2.0,0.4,10,90.0,5.47,17.96,3.43,5.234
15,0.5,3.0,4.0,8.0,2.5,0.1,9,77.8,3.609,17.95,3.25,5.525
15,0.5,3.0,4.0,8.0,3.0,0.1,9,77.8,3.609,17.95,3.25,5.525
12,0.4,3.0,4.0,8.0,2.0,0.3,12,83.3,3.106,17.89,3.57,5.013
15,0.5,3.5,4.0,8.0,3.0,0.4,9,77.8,3.37,17.83,3.73,4.779
15,0.5,3.5,4.0,8.0,2.5,0.4,9,77.8,3.37,17.83,3.73,4.779
15,0.4,3.5,5.0,7.0,2.0,0.4,10,90.0,4.881,17.81,3.9,4.563
15,0.5,3.0,4.0,7.0,3.5,0.2,9,77.8,3.582,17.77,3.25,5.47
15,0.4,2.5,4.0,7.0,2.0,0.2,10,90.0,6.347,17.73,2.86,6.201
15,0.4,2.5,4.0,7.0,2.0,0.3,10,90.0,6.332,17.71,2.86,6.194
15,0.5,3.5,4.0,6.0,3.5,0.1,9,77.8,3.362,17.69,3.73,4.742
12,0.4,3.5,4.0,8.0,3.5,0.2,11,72.7,2.304,17.64,7.58,2.326
15,0.5,3.5,4.0,7.0,3.0,0.1,9,77.8,3.354,17.63,3.73,4.725
15,0.5,3.5,4.0,7.0,2.5,0.1,9,77.8,3.354,17.63,3.73,4.725
15,0.5,3.0,4.0,8.0,2.5,0.2,9,77.8,3.543,17.48,3.25,5.38
15,0.5,3.0,4.0,8.0,3.0,0.2,9,77.8,3.543,17.48,3.25,5.38
15,0.4,3.0,5.0,8.0,2.0,0.2,10,90.0,5.484,17.47,3.35,5.223
12,0.5,3.0,4.0,8.0,3.5,0.1,11,72.7,2.546,17.44,3.57,4.887
12,0.4,3.5,4.0,7.0,2.0,0.4,12,83.3,2.898,17.43,4.0,4.354
12,0.5,3.5,4.0,7.0,3.5,0.1,11,72.7,2.462,17.41,3.73,4.666
12,0.5,3.5,4.0,8.0,3.5,0.4,11,72.7,2.457,17.4,3.73,4.664
15,0.4,3.0,5.0,8.0,2.0,0.3,10,90.0,5.457,17.38,3.35,5.196
15,0.5,3.0,4.0,7.0,3.5,0.3,9,77.8,3.528,17.38,3.25,5.351
15,0.5,3.5,4.0,6.0,3.5,0.2,9,77.8,3.318,17.36,3.73,4.652
15,0.5,2.5,4.0,8.0,3.5,0.1,9,77.8,3.85,17.3,3.07,5.643
12,0.4,3.0,4.0,8.0,3.5,0.1,11,72.7,2.423,17.23,6.52,2.642
15,0.5,3.5,4.0,7.0,2.5,0.2,9,77.8,3.301,17.22,3.73,4.615
15,0.5,3.5,4.0,7.0,3.0,0.2,9,77.8,3.301,17.22,3.73,4.615
15,0.4,2.5,4.0,7.0,2.0,0.4,10,90.0,6.194,17.21,2.86,6.018
12,0.4,3.0,4.0,7.0,2.0,0.1,12,83.3,3.041,17.2,3.57,4.818
15,0.4,3.5,5.0,6.0,2.0,0.1,10,90.0,4.789,17.2,3.9,4.407
15,0.4,3.5,4.0,5.0,2.0,0.1,10,90.0,4.677,17.18,4.0,4.291
