adx_thresh,pb_pct,risk_pct,sl_mult,tp_mult,trail_act,trail_dist,trades,wr,pf,net_pct,max_dd,calmar
12,0.4,2.5,3.0,6.0,3.5,0.1,24,75.0,3.029,40.92,5.58,7.331
15,0.4,3.0,4.0,6.0,3.5,0.3,24,79.2,3.165,40.86,6.49,6.298
12,0.4,3.0,4.0,6.0,3.5,0.3,24,79.2,3.164,40.84,6.49,6.295
15,0.4,3.5,5.0,8.0,3.5,0.1,24,79.2,2.881,40.83,7.41,5.508
12,0.4,3.5,5.0,8.0,3.5,0.1,24,79.2,2.881,40.82,7.41,5.507
12,0.4,3.0,3.0,7.0,3.5,0.2,24,75.0,2.751,40.77,6.68,6.105
15,0.4,2.5,4.0,8.0,3.5,0.2,24,79.2,3.508,40.66,5.42,7.5
12,0.4,3.5,3.0,7.0,3.5,0.2,24,75.0,2.581,40.6,7.53,5.393
15,0.4,2.5,4.0,7.0,3.5,0.1,24,79.2,3.498,40.6,5.42,7.489
12,0.4,2.5,3.0,7.0,3.5,0.2,24,75.0,3.017,40.57,5.58,7.268
12,0.4,2.5,4.0,8.0,3.5,0.2,24,79.2,3.49,40.37,5.42,7.447
12,0.4,2.5,4.0,7.0,3.5,0.1,24,79.2,3.481,40.31,5.42,7.437
12,0.4,3.0,3.0,8.0,3.5,0.3,24,75.0,2.729,40.09,6.68,6.003
12,0.4,2.5,3.0,8.0,3.5,0.3,24,75.0,2.995,39.98,5.58,7.163
15,0.5,3.5,4.0,8.0,3.5,0.1,26,73.1,2.353,39.88,7.19,5.546
12,0.5,3.5,4.0,8.0,3.5,0.1,26,73.1,2.353,39.87,7.19,5.545
12,0.4,3.5,3.0,8.0,3.5,0.3,24,75.0,2.56,39.87,7.53,5.296
15,0.4,3.5,4.0,8.0,3.0,0.1,24,79.2,2.871,39.78,7.55,5.271
12,0.4,3.5,4.0,8.0,3.0,0.1,24,79.2,2.871,39.78,7.55,5.271
12,0.4,3.0,3.0,6.0,3.5,0.2,24,75.0,2.708,39.64,6.68,5.935
15,0.4,3.0,4.0,6.0,3.5,0.4,24,79.2,3.107,39.58,6.49,6.102
12,0.4,3.0,4.0,6.0,3.5,0.4,24,79.2,3.106,39.56,6.49,6.098
12,0.4,3.5,4.0,5.0,3.5,0.1,24,79.2,2.84,39.49,7.55,5.233
12,0.4,3.5,3.0,6.0,3.5,0.2,24,75.0,2.542,39.46,7.53,5.242
12,0.4,2.5,3.0,6.0,3.5,0.2,24,75.0,2.967,39.44,5.58,7.065
15,0.4,3.5,5.0,8.0,3.5,0.2,24,79.2,2.817,39.22,7.41,5.291
12,0.4,3.5,5.0,8.0,3.5,0.2,24,79.2,2.816,39.21,7.41,5.289
15,0.4,2.5,4.0,7.0,3.5,0.2,24,79.2,3.423,39.18,5.42,7.228
15,0.4,3.5,4.0,5.0,3.5,0.1,24,79.2,2.825,39.17,7.55,5.191
15,0.4,2.5,4.0,8.0,3.5,0.3,24,79.2,3.428,39.16,5.42,7.224
15,0.4,3.5,5.0,7.0,3.5,0.1,24,79.2,2.806,39.09,7.41,5.273
12,0.4,3.5,5.0,7.0,3.5,0.1,24,79.2,2.806,39.09,7.41,5.273
12,0.4,3.0,3.0,7.0,3.5,0.3,24,75.0,2.688,39.04,6.68,5.845
18,0.4,3.5,2.0,8.0,3.5,0.1,19,68.4,2.703,38.98,7.09,5.5
12,0.4,2.0,3.0,8.0,3.5,0.1,24,75.0,3.362,38.93,4.48,8.694
12,0.4,2.5,3.0,7.0,3.5,0.3,24,75.0,2.948,38.92,5.58,6.973
12,0.4,2.5,4.0,7.0,3.5,0.2,24,79.2,3.405,38.9,5.42,7.176
12,0.4,2.5,4.0,8.0,3.5,0.3,24,79.2,3.41,38.88,5.42,7.171
12,0.4,3.5,3.0,7.0,3.5,0.3,24,75.0,2.523,38.81,7.53,5.156
12,0.4,3.5,4.0,5.0,3.5,0.2,24,79.2,2.809,38.72,7.55,5.13
15,0.4,2.5,4.0,6.0,3.5,0.1,24,79.2,3.388,38.69,5.42,7.137
12,0.4,3.0,3.0,8.0,3.5,0.4,24,75.0,2.672,38.54,6.68,5.77
12,0.4,2.5,3.0,8.0,3.5,0.4,24,75.0,2.931,38.48,5.58,6.894
