session,adx,tp,sl,pb_pct,trail_dist,risk_pct,trades,wr,pf,ret,mdd
all,25,5.0,1.5,0.4,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
all,25,5.0,1.5,0.5,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
all,25,5.0,1.5,0.3,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
no_overnight,25,5.0,1.5,0.5,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
no_overnight,25,5.0,1.5,0.3,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
no_overnight,25,5.0,1.5,0.4,0.4,0.02,11,63.63636363636363,3.4076604478728068,19.65301632287353,-5.6224277852746125
no_overnight,22,5.0,2.0,0.3,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
no_overnight,22,5.0,2.0,0.4,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
all,22,5.0,2.0,0.4,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
no_overnight,22,5.0,2.0,0.5,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
all,22,5.0,2.0,0.3,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
all,22,5.0,2.0,0.5,0.4,0.02,12,66.66666666666666,2.991441213005754,18.72790448768422,-4.559229806416697
all,25,5.0,1.5,0.4,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
all,25,5.0,1.5,0.5,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
all,25,5.0,1.5,0.3,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
no_overnight,25,5.0,1.5,0.5,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
no_overnight,25,5.0,1.5,0.4,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
no_overnight,25,5.0,1.5,0.3,0.6,0.02,11,63.63636363636363,3.271809140533792,18.530762304243176,-5.6224277852746125
all,22,5.0,2.5,0.3,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
all,22,5.0,2.5,0.5,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
no_overnight,22,5.0,2.5,0.5,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
no_overnight,22,5.0,2.5,0.3,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
all,22,5.0,2.5,0.4,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
no_overnight,22,5.0,2.5,0.4,0.4,0.02,12,75.0,3.5416847150470976,18.398609766773188,-4.790216310019313
close_only,25,5.0,1.5,0.5,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
close_only,25,5.0,1.5,0.3,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
close_only,25,5.0,1.5,0.4,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
close_only,22,5.0,1.5,0.3,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
close_only,22,5.0,1.5,0.5,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
close_only,22,5.0,1.5,0.4,0.4,0.02,8,62.5,3.970982965913557,18.32633991152568,-3.5730060000836237
all,25,4.5,1.5,0.4,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
all,25,4.5,1.5,0.5,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
no_overnight,25,4.5,1.5,0.4,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
no_overnight,25,4.5,1.5,0.5,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
no_overnight,25,4.5,1.5,0.3,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
all,25,4.5,1.5,0.3,0.4,0.02,11,63.63636363636363,3.169451419857842,17.716408953692884,-5.6224277852746125
no_overnight,22,5.0,2.0,0.4,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
no_overnight,22,5.0,2.0,0.5,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
all,22,5.0,2.0,0.4,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
all,22,5.0,2.0,0.5,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
no_overnight,22,5.0,2.0,0.3,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
all,22,5.0,2.0,0.3,0.6,0.02,12,66.66666666666666,2.884075458915629,17.707469223531724,-4.559229806416697
close_only,22,5.0,1.5,0.3,0.6,0.02,8,62.5,3.86758906092312,17.67135617423272,-3.5730060000836237
