entry_time,exit_time,direction,entry_price,exit_price,result,pnl_pct,dollar_pnl,equity
2026-01-21 11:30:00+00:00,2026-01-21 11:45:00+00:00,short,89180.29,88866.12,TP,0.352,116.14,10116.14
2026-01-21 11:45:00+00:00,2026-01-21 12:00:00+00:00,short,88687.13,88313.29,TP,0.422,152.51,10268.66
2026-01-21 12:00:00+00:00,2026-01-21 13:00:00+00:00,short,88284.04,88680.28,SL,-0.449,-292.06,9976.6
2026-01-23 07:45:00+00:00,2026-01-23 08:30:00+00:00,short,89438.16,89129.36,TP,0.345,112.37,10088.97
2026-01-29 08:30:00+00:00,2026-01-29 11:15:00+00:00,short,87980.35,87653.03,TP,0.372,127.14,10216.11
2026-01-30 01:00:00+00:00,2026-01-30 01:15:00+00:00,short,84007.23,83671.55,TP,0.4,142.81,10358.93
2026-01-30 07:15:00+00:00,2026-01-30 10:30:00+00:00,short,82561.15,82429.73,SL,0.159,17.54,10376.47
2026-02-01 02:15:00+00:00,2026-02-01 07:30:00+00:00,short,78525.62,78223.59,SL,0.385,82.01,10458.48
2026-02-03 14:30:00+00:00,2026-02-03 14:45:00+00:00,short,77697.15,77288.54,TP,0.526,212.26,10670.74
2026-02-04 13:15:00+00:00,2026-02-04 13:30:00+00:00,short,75753.95,75342.06,TP,0.544,226.07,10896.81
2026-02-05 14:45:00+00:00,2026-02-05 15:00:00+00:00,short,69347.79,68272.26,TP,1.551,301.61,11198.42
2026-02-11 02:45:00+00:00,2026-02-11 03:15:00+00:00,short,68665.52,68285.13,TP,0.554,243.0,11441.42
2026-02-11 11:30:00+00:00,2026-02-11 12:15:00+00:00,short,66884.95,67285.2,SL,-0.598,-410.98,11030.44
2026-02-12 06:30:00+00:00,2026-02-12 09:00:00+00:00,short,67170.6,67147.26,SL,0.035,-46.04,10984.4
2026-02-17 07:15:00+00:00,2026-02-17 10:15:00+00:00,short,68181.03,67847.8,TP,0.489,202.52,11186.92
2026-02-23 21:15:00+00:00,2026-02-24 01:15:00+00:00,short,64528.47,64035.15,TP,0.764,282.93,11469.85
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14,62764.52,TP,0.571,258.81,11728.65
2026-03-08 00:45:00+00:00,2026-03-08 02:45:00+00:00,short,67228.49,66998.06,TP,0.343,130.63,11859.29
2026-03-08 02:45:00+00:00,2026-03-08 04:45:00+00:00,short,66956.8,66662.27,TP,0.44,189.69,12048.97
2026-03-08 17:15:00+00:00,2026-03-08 18:45:00+00:00,short,67066.89,66772.17,TP,0.439,192.45,12241.42
2026-03-08 21:00:00+00:00,2026-03-08 22:00:00+00:00,short,66760.64,66366.67,TP,0.59,287.75,12529.17
2026-03-14 09:15:00+00:00,2026-03-14 10:45:00+00:00,short,70678.56,70565.38,SL,0.16,25.15,12554.32
