entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-20 12:30:00-05:00,2026-01-20 17:30:00-05:00,short,89836.046875,88257.11884140703,TP,1.758,818.78,10818.78
2026-02-05 09:50:00-05:00,2026-02-05 10:10:00-05:00,short,69347.7890625,67940.0874312362,SL,2.03,508.81,11327.59
2026-02-10 09:40:00-05:00,2026-02-10 09:50:00-05:00,short,67931.1328125,68426.11610876507,SL,-0.729,-395.79,10931.8
2026-02-16 10:20:00-05:00,2026-02-16 10:30:00-05:00,short,68267.7734375,67392.73175665012,SL,1.282,587.47,11519.27
2026-02-17 09:30:00-05:00,2026-02-17 09:40:00-05:00,short,67579.6171875,66848.75533990719,SL,1.081,553.78,12073.04
2026-02-23 11:00:00-05:00,2026-02-23 12:10:00-05:00,short,65422.578125,64995.86775647484,SL,0.652,321.29,12394.33
2026-02-24 09:10:00-05:00,2026-02-24 09:40:00-05:00,short,62862.0390625,63120.092070470804,SL,-0.411,-328.76,12065.57
2026-03-08 12:10:00-04:00,2026-03-08 14:20:00-04:00,short,67106.0625,66817.60833316401,SL,0.43,186.92,12252.49
