rsi_dir,ema_slope,trade_mode,adx_thresh,pb_pct,vol_mult,tp_mult,sl_mult,risk_pct,n,wr,pf,ret,mdd,calmar
0,0,shorts,10,0.3,0.3,8.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,8.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,8.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.3,12.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,12.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,12.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,12.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.3,16.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,16.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,16.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,16.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.3,24.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,24.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,24.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,24.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.7,8.0,1.5,0.02,25,36.0,0.375,-19.55,-22.09,-0.88
0,0,shorts,10,0.3,0.7,8.0,1.5,0.025,25,36.0,0.397,-19.98,-23.06,-0.87
0,0,shorts,10,0.3,0.7,8.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,10,0.3,0.7,8.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,10,0.3,0.7,12.0,1.5,0.02,25,36.0,0.375,-19.55,-22.09,-0.88
0,0,shorts,10,0.3,0.7,12.0,1.5,0.025,25,36.0,0.397,-19.98,-23.06,-0.87
0,0,shorts,10,0.3,0.7,12.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,10,0.3,0.7,12.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,10,0.3,0.7,16.0,1.5,0.02,25,36.0,0.375,-19.55,-22.09,-0.88
0,0,shorts,10,0.3,0.7,16.0,1.5,0.025,25,36.0,0.397,-19.98,-23.06,-0.87
0,0,shorts,10,0.3,0.7,16.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
0,0,shorts,10,0.3,0.7,16.0,2.0,0.025,20,40.0,0.454,-15.9,-19.71,-0.81
0,0,shorts,10,0.3,0.7,24.0,1.5,0.02,25,36.0,0.375,-19.55,-22.09,-0.88
0,0,shorts,10,0.3,0.7,24.0,1.5,0.025,25,36.0,0.397,-19.98,-23.06,-0.87
0,0,shorts,10,0.3,0.7,24.0,2.0,0.02,20,40.0,0.443,-14.38,-17.17,-0.84
