risk_pct,cb_dd_pct,trail_dist,trail_act,di_align,n,wr,pf,ret,mdd,calmar
0.015,4.0,0.1,3.0,True,55,40.0,1.683,41.07,-14.63,2.81
0.015,4.0,0.2,2.5,False,60,45.0,1.627,35.29,-10.18,3.47
0.015,4.0,0.2,2.5,True,57,43.9,1.529,27.68,-10.18,2.72
0.015,4.0,0.2,3.0,False,57,42.1,1.798,50.37,-14.73,3.42
0.015,4.0,0.2,3.0,True,55,40.0,1.642,38.25,-14.73,2.6
0.015,5.0,0.1,2.5,False,59,45.8,1.755,41.59,-8.37,4.97
0.015,5.0,0.1,2.5,True,56,44.6,1.652,33.26,-8.37,3.97
0.015,5.0,0.1,3.0,False,56,42.9,1.919,56.77,-13.02,4.36
0.015,5.0,0.1,3.0,True,54,40.7,1.752,43.73,-13.02,3.36
0.015,5.0,0.2,2.5,False,59,45.8,1.697,37.84,-8.49,4.46
0.015,5.0,0.2,2.5,True,56,44.6,1.596,30.08,-8.49,3.54
0.015,5.0,0.2,3.0,False,56,42.9,1.873,53.2,-13.13,4.05
0.015,5.0,0.2,3.0,True,54,40.7,1.71,40.85,-13.13,3.11
0.02,0.0,0.1,2.5,False,61,44.3,1.731,44.08,-11.23,3.92
0.02,0.0,0.1,2.5,True,59,44.1,1.709,40.89,-11.23,3.64
0.02,0.0,0.1,3.0,False,60,41.7,1.896,65.44,-13.05,5.02
0.02,0.0,0.1,3.0,True,59,40.7,1.815,57.59,-13.05,4.41
0.02,0.0,0.2,2.5,False,61,44.3,1.674,40.06,-11.35,3.53
0.02,0.0,0.2,2.5,True,59,44.1,1.653,37.16,-11.35,3.27
0.02,0.0,0.2,3.0,False,60,41.7,1.851,61.25,-13.31,4.6
0.02,0.0,0.2,3.0,True,59,40.7,1.771,53.82,-13.31,4.04
0.02,2.0,0.1,2.5,False,53,45.3,1.758,37.83,-10.94,3.46
0.02,2.0,0.1,2.5,True,52,46.2,1.811,39.71,-10.94,3.63
0.02,2.0,0.1,3.0,False,51,43.1,2.012,59.19,-13.67,4.33
0.02,2.0,0.1,3.0,True,50,44.0,2.069,61.35,-13.67,4.49
0.02,2.0,0.2,2.5,False,53,45.3,1.702,34.6,-11.12,3.11
0.02,2.0,0.2,2.5,True,52,46.2,1.754,36.43,-11.12,3.28
0.02,2.0,0.2,3.0,False,51,43.1,1.967,55.87,-13.78,4.06
0.02,2.0,0.2,3.0,True,50,44.0,2.023,57.99,-13.78,4.21
0.02,3.0,0.1,2.5,False,56,44.6,1.753,40.05,-8.89,4.51
0.02,3.0,0.1,2.5,True,55,45.5,1.802,41.96,-8.89,4.72
0.02,3.0,0.1,3.0,False,55,40.0,1.758,48.66,-15.3,3.18
0.02,3.0,0.1,3.0,True,54,40.7,1.802,50.69,-15.3,3.31
0.02,3.0,0.2,2.5,False,55,45.5,1.741,38.06,-7.98,4.77
0.02,3.0,0.2,2.5,True,54,46.3,1.791,39.94,-7.98,5.0
0.02,3.0,0.2,3.0,False,54,40.7,1.758,47.2,-14.46,3.27
0.02,3.0,0.2,3.0,True,53,41.5,1.803,49.21,-14.46,3.4
0.02,4.0,0.1,2.5,False,57,43.9,1.702,38.24,-10.07,3.8
0.02,4.0,0.1,2.5,True,56,44.6,1.749,40.12,-10.07,3.99
0.02,4.0,0.1,3.0,False,55,40.0,1.786,49.85,-14.63,3.41
0.02,4.0,0.1,3.0,True,54,40.7,1.832,51.89,-14.63,3.55
0.02,4.0,0.2,2.5,False,57,43.9,1.647,34.76,-10.18,3.41
0.02,4.0,0.2,2.5,True,56,44.6,1.692,36.59,-10.18,3.59
0.02,4.0,0.2,3.0,False,55,40.0,1.745,46.73,-14.73,3.17
0.02,4.0,0.2,3.0,True,54,40.7,1.79,48.72,-14.73,3.31
0.02,5.0,0.1,2.5,False,59,45.8,1.855,48.72,-8.37,5.82
0.02,5.0,0.1,2.5,True,56,44.6,1.755,39.91,-8.37,4.77
0.02,5.0,0.1,3.0,False,56,42.9,2.001,65.5,-13.02,5.03
0.02,5.0,0.1,3.0,True,54,40.7,1.839,51.66,-13.02,3.97
0.02,5.0,0.2,2.5,False,56,44.6,1.719,37.3,-8.49,4.39
0.02,5.0,0.2,2.5,True,55,45.5,1.768,39.17,-8.49,4.61
0.02,5.0,0.2,3.0,False,54,40.7,1.816,49.49,-13.13,3.77
0.02,5.0,0.2,3.0,True,53,41.5,1.865,51.53,-13.13,3.93
0.03,0.0,0.1,2.5,False,61,44.3,1.768,47.39,-11.23,4.22
0.03,0.0,0.1,2.5,True,59,44.1,1.748,44.13,-11.23,3.93
0.03,0.0,0.1,3.0,False,60,41.7,1.998,78.46,-13.05,6.01
0.03,0.0,0.1,3.0,True,59,40.7,1.92,69.99,-13.05,5.36
0.03,0.0,0.2,2.5,False,61,44.3,1.711,43.15,-11.35,3.8
0.03,0.0,0.2,2.5,True,59,44.1,1.691,40.18,-11.35,3.54
0.03,0.0,0.2,3.0,False,60,41.7,1.953,73.83,-13.31,5.55
0.03,0.0,0.2,3.0,True,59,40.7,1.877,65.82,-13.31,4.94
0.03,2.0,0.1,2.5,False,53,45.3,1.804,41.0,-10.94,3.75
0.03,2.0,0.1,2.5,True,52,46.2,1.858,42.92,-10.94,3.92
0.03,2.0,0.1,3.0,False,51,43.1,2.14,71.72,-13.67,5.25
0.03,2.0,0.1,3.0,True,50,44.0,2.199,74.05,-13.67,5.42
0.03,2.0,0.2,2.5,False,53,45.3,1.747,37.57,-11.12,3.38
0.03,2.0,0.2,2.5,True,52,46.2,1.799,39.44,-11.12,3.55
0.03,2.0,0.2,3.0,False,51,43.1,2.094,68.03,-13.78,4.94
