be_trig,em_slope,sl,tp,maxb,pf,wr,np,n,dd,calmar,yrs
0.0,0,1.2,2.5,0,2.0353135647597065,54.83870967741935,19.365202875826853,31,-6.445374167683456,3.0045118207290886,"{2002: np.float64(-104.61115798051863), 2003: np.float64(95.42134361862816), 2005: np.float64(291.002781577214), 2006: np.float64(852.0881627674261), 2009: np.float64(227.94130629653083), 2011: np.float64(250.1669142115914), 2012: np.float64(-124.55281521473509), 2013: np.float64(106.96555345619889), 2015: np.float64(233.14649182770998), 2016: np.float64(-9.635856709959825), 2017: np.float64(97.58781652578799), 2018: np.float64(239.55350579573485), 2019: np.float64(-384.8257827003329), 2020: np.float64(-145.54227802108005), 2021: np.float64(-253.07194191332908), 2024: np.float64(227.72494041831933), 2025: np.float64(337.1613036274996)}"
0.0,0,1.2,2.5,20,1.6979647336512804,54.83870967741935,12.449257404576397,31,-6.520445196989735,1.9092649395050187,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-63.284358979594145), 2005: np.float64(188.58692063981783), 2006: np.float64(663.9565592967652), 2009: np.float64(218.74386933802398), 2011: np.float64(124.12404188646393), 2012: np.float64(-118.2834172363845), 2013: np.float64(101.5814148204299), 2015: np.float64(221.41100321587766), 2016: np.float64(-9.150833384931488), 2017: np.float64(92.67570868957716), 2018: np.float64(135.06688016190537), 2019: np.float64(-362.52921665792087), 2020: np.float64(-137.10964912836607), 2021: np.float64(-238.40911130266295), 2024: np.float64(214.5306992790886), 2025: np.float64(317.6263878000685)}"
0.0,0,1.2,2.5,25,1.8057768209001086,54.83870967741935,14.550410378507792,31,-6.445374167683454,2.257496616947746,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-96.43536757035143), 2005: np.float64(285.41456244554576), 2006: np.float64(677.2488330173591), 2009: np.float64(220.3196326743682), 2011: np.float64(161.683282499016), 2012: np.float64(-119.52877181039617), 2013: np.float64(102.65092128665232), 2015: np.float64(223.7421432187097), 2016: np.float64(-9.247178523397992), 2017: np.float64(93.65145085540996), 2018: np.float64(229.8907197021055), 2019: np.float64(-369.3031995129362), 2020: np.float64(-139.6715899865814), 2021: np.float64(-242.86386738365366), 2024: np.float64(218.53927903491626), 2025: np.float64(323.56134588453193)}"
0.0,0,1.2,2.5,30,1.841262760262043,54.83870967741935,15.270407001492279,31,-6.445374167683454,2.369204115108906,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-91.45013789640308), 2005: np.float64(285.55976745644716), 2006: np.float64(727.470678757847), 2009: np.float64(221.45284474077195), 2011: np.float64(175.24004115742812), 2012: np.float64(-120.28005949036694), 2013: np.float64(103.29612470782233), 2015: np.float64(225.14845496394466), 2016: np.float64(-9.305300858245872), 2017: np.float64(94.240088889361), 2018: np.float64(231.3356777890653), 2019: np.float64(-371.62442259391923), 2020: np.float64(-140.54948359503655), 2021: np.float64(-244.39036705993934), 2024: np.float64(219.91288863068004), 2025: np.float64(325.59506253028985)}"
0.0,0,1.2,3.0,0,1.8649210119663693,46.666666666666664,17.802227190387583,30,-6.445374167683466,2.7620160951471786,"{2002: np.float64(-104.61115798051863), 2003: np.float64(136.19392078505862), 2005: np.float64(389.75233755048896), 2006: np.float64(849.9894346282265), 2009: np.float64(-116.56924898880202), 2011: np.float64(-115.70569490582753), 2012: np.float64(-118.4071302704416), 2013: np.float64(176.5961642955566), 2015: np.float64(277.26984164826973), 2016: np.float64(37.1193082447695), 2017: np.float64(151.8548264694321), 2018: np.float64(286.7057724789136), 2019: np.float64(-375.1731991784925), 2020: np.float64(-141.89164166116817), 2021: np.float64(-246.72413943707198), 2024: np.float64(268.1785314846312), 2025: np.float64(425.64479387573385)}"
0.0,0,1.2,3.0,20,1.7272343128978753,51.61290322580645,13.810723700336863,31,-6.4453741676834655,2.1427342061198877,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-63.284358979594145), 2005: np.float64(242.16893069851693), 2006: np.float64(821.8071875653795), 2009: np.float64(-112.68843592190325), 2011: np.float64(122.75796755713812), 2012: np.float64(-116.98162318089155), 2013: np.float64(137.20966176647036), 2015: np.float64(245.30803862351547), 2016: np.float64(36.457422776562225), 2017: np.float64(149.14705771861168), 2018: np.float64(135.5627205025122), 2019: np.float64(-363.86008777933955), 2020: np.float64(-137.6129886224212), 2021: np.float64(-239.28432848995845), 2024: np.float64(260.0917768651909), 2025: np.float64(368.88458691441554)}"
0.0,0,1.2,3.0,25,1.8917265571625728,51.61290322580645,17.227637293521873,31,-6.445374167683461,2.672868455007582,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-96.43536757035143), 2005: np.float64(303.76205658456945), 2006: np.float64(877.9841932053955), 2009: np.float64(-113.56357598020294), 2011: np.float64(159.9931162778445), 2012: np.float64(-118.27927038112331), 2013: np.float64(176.40546998543113), 2015: np.float64(276.97043661089174), 2016: np.float64(37.07922560250883), 2017: np.float64(151.69084866454423), 2018: np.float64(241.39214610538465), 2019: np.float64(-373.3432615366994), 2020: np.float64(-141.1995536956628), 2021: np.float64(-245.52072247956139), 2024: np.float64(266.87046899360286), 2025: np.float64(423.5686769461345)}"
0.0,0,1.2,3.0,30,1.9310523107869242,51.61290322580645,18.068709510536817,31,-6.445374167683463,2.8033608352997925,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-91.45013789640308), 2005: np.float64(274.38661162217176), 2006: np.float64(926.6085471475866), 2009: np.float64(-113.8142080451381), 2011: np.float64(172.90154855621407), 2012: np.float64(-118.67498095161493), 2013: np.float64(176.99564533011193), 2015: np.float64(277.89705823383076), 2016: np.float64(37.20327643127433), 2017: np.float64(152.19833972422003), 2018: np.float64(287.3543342359582), 2019: np.float64(-376.02188452985956), 2020: np.float64(-142.2126170347368), 2021: np.float64(-247.28225809647353), 2024: np.float64(268.7851824706839), 2025: np.float64(426.60765183637454)}"
0.0,0,1.2,3.5,0,1.5821455274342333,40.0,13.758559084341337,30,-8.49680686157671,1.6192623074155919,"{2002: np.float64(-104.61115798051863), 2003: np.float64(176.96649795148912), 2005: np.float64(463.3454857480397), 2006: np.float64(952.1391310746492), 2009: np.float64(-118.8084747369913), 2011: np.float64(-117.92833229512867), 2012: np.float64(-120.68166062189171), 2013: np.float64(195.34384920999338), 2015: np.float64(322.06895527516906), 2016: np.float64(85.51197502182661), 2017: np.float64(193.50055667161908), 2018: np.float64(-127.74258399722157), 2019: np.float64(-373.55589176845035), 2020: np.float64(-141.279971094123), 2021: np.float64(-245.66055392557598), 2024: np.float64(312.9890625125919), 2025: np.float64(24.25902138865716)}"
0.0,0,1.2,3.5,20,1.8307653365300283,51.61290322580645,15.786927792951824,31,-6.445374167683439,2.449342331761924,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-63.284358979594145), 2005: np.float64(270.4345228363044), 2006: np.float64(730.0458068776911), 2009: np.float64(-112.0317556566655), 2011: np.float64(122.04260813240231), 2012: np.float64(-116.29992480865029), 2013: np.float64(136.41008658073935), 2015: np.float64(243.87853126945225), 2016: np.float64(81.53841652281385), 2017: np.float64(184.50899985948863), 2018: np.float64(135.74583451627873), 2019: np.float64(-364.3515789568236), 2020: np.float64(-137.7988720762177), 2021: np.float64(-239.6075465078531), 2024: np.float64(391.40469789732214), 2025: np.float64(420.6684697690128)}"
0.0,0,1.2,3.5,25,2.0494286151362857,51.61290322580645,20.584971469792464,31,-6.445374167683479,3.193758955531805,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-96.43536757035143), 2005: np.float64(332.1074493445941), 2006: np.float64(942.0303829076204), 2009: np.float64(-114.51909964976672), 2011: np.float64(161.33929799369145), 2012: np.float64(-119.27447189263259), 2013: np.float64(193.06607426455523), 2015: np.float64(318.31352299513566), 2016: np.float64(84.51487664874068), 2017: np.float64(191.24427513679007), 2018: np.float64(246.34035887707446), 2019: np.float64(-380.99629385264615), 2020: np.float64(-144.09395372576466), 2021: np.float64(-250.55356548745894), 2024: np.float64(319.22310813833366), 2025: np.float64(480.8017108318495)}"
0.0,0,1.2,3.5,30,1.5876836790629554,45.16129032258064,13.0949694131608,31,-8.496806861576681,1.5411635955122647,"{2002: np.float64(-104.61115798051863), 2003: np.float64(-91.45013789640308), 2005: np.float64(302.66357226315586), 2006: np.float64(1019.133681301234), 2009: np.float64(-115.06355628480402), 2011: np.float64(174.79950355703917), 2012: np.float64(-119.97768630880094), 2013: np.float64(194.20434672589198), 2015: np.float64(320.1902251484096), 2016: np.float64(85.01315661340557), 2017: np.float64(192.3718066961577), 2018: np.float64(-126.99742108383049), 2019: np.float64(-371.3768220493766), 2020: np.float64(-140.45584031822924), 2021: np.float64(-244.22753818141013), 2024: np.float64(311.16329827342093), 2025: np.float64(24.11751084073859)}"
0.0,0,1.5,2.5,0,2.15011470012258,60.0,16.98094602897968,30,-4.619062381665056,3.6762755351354395,"{2002: np.float64(-103.67692638441525), 2003: np.float64(56.580469977941576), 2005: np.float64(211.44786039205286), 2006: np.float64(669.8436222977082), 2009: np.float64(177.44440430224768), 2011: np.float64(193.96486949786498), 2012: np.float64(-118.55266631098858), 2013: np.float64(360.7227025750503), 2015: np.float64(184.15809983999048), 2016: np.float64(-53.81922280754347), 2017: np.float64(53.393023358036544), 2018: np.float64(187.0748717861811), 2019: np.float64(-305.0417239421314), 2020: np.float64(-120.99089887405104), 2021: np.float64(-117.9042325908251), 2024: np.float64(180.62612151949122), 2025: np.float64(242.82422826135786)}"
