em,at,pb,mb,pm,sl,tp,ta,td,rl,rh,rs,rx,vm,dl,ds,pf,wr,np,n,dd
34,20,0.1,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.9711383092561732,57.89473684210527,9.308294527587368,19,-3.990999800305764
50,28,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.9466341184767613,47.05882352941176,9.863255794203232,17,-3.288876341949433
34,20,0.25,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.9334417647450257,62.96296296296296,11.159980863075798,27,-4.25265496179439
34,28,0.25,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.9283856469795968,41.66666666666667,7.428950100806341,12,-3.1895867813368124
34,20,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.9224059448040656,50.0,19.23030429215958,30,-7.124806872716522
34,28,0.1,0.15,2.0,2.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.9067586080532846,57.14285714285714,2.9163171702259025,7,-1.0551667424749218
34,20,0.15,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.8988288375214672,57.14285714285714,9.812106839354273,21,-5.0734399450190715
34,25,0.1,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.8945252649148463,55.55555555555556,3.8762794261592717,9,-2.0517836677945844
50,28,0.25,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8937155519090971,41.17647058823529,10.211774245367886,17,-4.165268806891538
34,25,0.25,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8890349906983772,53.333333333333336,7.557119506204417,15,-2.659223225899348
34,33,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.882410516737373,50.0,2.8942027266610784,6,-2.0944170910635505
34,33,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.882410516737373,50.0,2.8942027266610784,6,-2.0944170910635505
34,28,0.1,0.15,2.0,1.0,2.0,2.0,0.5,42,70,30,58,1.0,True,False,1.8709839362524119,57.14285714285714,2.9088138814173723,7,-1.1109334849498438
50,28,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8667835881445536,50.0,5.692308068538605,12,-3.094114766377796
34,28,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.8648749954004529,57.14285714285714,2.8976302886226404,7,-1.1109334849498573
50,28,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.8630448474447046,46.15384615384615,6.967135517825554,13,-3.1569652360694116
34,25,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8406926763679037,50.0,4.66985129223036,10,-2.0517836677945906
34,28,0.1,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.8267926173624462,57.14285714285714,2.767699928201291,7,-1.11093348494985
50,33,0.25,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8245515717713834,40.0,5.540782352548923,10,-3.1893611983748813
50,20,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.807496982635868,47.82608695652174,12.945038788283746,23,-6.365878965641417
34,25,0.25,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.8064343626162702,60.0,5.303149497863233,15,-2.0517836677945844
34,25,0.1,0.15,2.0,2.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.78285859271218,55.55555555555556,3.342069613987696,9,-2.036042646540633
34,28,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.7778905362050943,55.00000000000001,7.7686833912976,20,-3.075122565276826
50,33,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.7740231941100941,44.44444444444444,4.316024904974947,9,-2.124743904244751
50,33,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.7740231941100941,44.44444444444444,4.316024904974947,9,-2.124743904244751
34,28,0.25,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7672035721086323,50.0,5.350115828652597,12,-2.395338573165464
50,28,0.1,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7636468453527885,50.0,5.119317048834655,12,-3.1569652360693987
34,20,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7614769263939258,50.0,8.006386173931187,18,-3.636461208764769
34,33,0.1,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7513829004815427,50.0,2.5232215320606883,6,-2.1472016035429675
34,33,0.15,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7513829004815427,50.0,2.5232215320606883,6,-2.1472016035429675
50,25,0.25,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7501994603791113,40.0,10.636510226289829,20,-4.165268806891538
34,28,0.25,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.749128502079075,50.0,5.1643167517908655,12,-2.224850047641205
34,20,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.747710432997812,50.0,8.859946566294056,20,-4.722898549611132
34,28,0.1,0.15,2.0,1.0,2.5,2.0,0.5,42,70,30,58,1.0,True,False,1.7409541602129637,57.14285714285714,2.470910002117216,7,-1.1109334849498527
34,28,0.1,0.15,2.0,1.0,3.0,2.0,0.5,42,70,30,58,1.0,True,False,1.7409541602129637,57.14285714285714,2.470910002117216,7,-1.1109334849498527
34,20,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7408804200194086,42.10526315789473,10.552898092486684,19,-4.587577575203125
34,28,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.736153062508368,50.0,3.4926907829333866,8,-2.4336362576439154
34,25,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.734042063715892,55.55555555555556,3.2502402669284858,9,-2.083261917113081
50,25,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.7316144662426314,45.0,9.63036251667918,20,-3.7185225064066865
34,33,0.15,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,True,1.7269032640156514,58.333333333333336,3.9702589384452405,12,-2.06001805667551
34,33,0.1,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,True,1.7269032640156514,58.333333333333336,3.9702589384452405,12,-2.06001805667551
34,25,0.25,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.71413124954948,53.333333333333336,5.513370705204088,15,-2.150692187727569
50,25,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.712787229776959,40.0,7.7625715944395965,15,-3.15696523606941
34,25,0.25,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.7101891594958505,56.25,5.645512397088623,16,-2.224850047641186
34,28,0.15,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.7030369160294168,50.0,3.2465481553120115,8,-2.2824072479288007
