rsi_dir,ema_slope,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
1,1,0.4,20,6.0,0.02,7,0.0,0.0,-15.18,-15.18,-1.0
1,1,0.4,20,7.0,0.02,7,0.0,0.0,-15.18,-15.18,-1.0
1,1,0.4,20,9.0,0.02,7,0.0,0.0,-15.18,-15.18,-1.0
1,1,0.4,20,8.0,0.02,7,0.0,0.0,-15.18,-15.18,-1.0
0,1,0.4,20,8.0,0.02,7,0.0,0.0,-15.19,-15.19,-1.0
0,1,0.4,20,9.0,0.02,7,0.0,0.0,-15.19,-15.19,-1.0
0,1,0.4,20,7.0,0.02,7,0.0,0.0,-15.19,-15.19,-1.0
0,1,0.4,20,6.0,0.02,7,0.0,0.0,-15.19,-15.19,-1.0
1,1,0.3,20,6.0,0.025,6,0.0,0.0,-15.26,-15.26,-1.0
1,1,0.3,20,9.0,0.025,6,0.0,0.0,-15.26,-15.26,-1.0
1,1,0.3,20,8.0,0.025,6,0.0,0.0,-15.26,-15.26,-1.0
1,1,0.3,20,7.0,0.025,6,0.0,0.0,-15.26,-15.26,-1.0
0,1,0.3,20,8.0,0.025,6,0.0,0.0,-15.27,-15.27,-1.0
0,1,0.3,20,7.0,0.025,6,0.0,0.0,-15.27,-15.27,-1.0
0,1,0.3,20,6.0,0.025,6,0.0,0.0,-15.27,-15.27,-1.0
0,1,0.3,20,9.0,0.025,6,0.0,0.0,-15.27,-15.27,-1.0
1,0,0.5,17,6.0,0.025,18,22.2,0.566,-15.37,-22.29,-0.69
1,0,0.2,17,8.0,0.02,11,9.1,0.283,-15.42,-15.42,-1.0
1,1,0.3,17,8.0,0.02,11,9.1,0.292,-15.44,-15.44,-1.0
1,1,0.4,17,8.0,0.02,11,9.1,0.292,-15.44,-15.44,-1.0
0,1,0.4,17,8.0,0.02,11,9.1,0.292,-15.44,-15.44,-1.0
0,1,0.3,17,8.0,0.02,11,9.1,0.292,-15.44,-15.44,-1.0
0,0,0.5,14,6.0,0.025,19,21.1,0.582,-15.56,-24.14,-0.64
1,0,0.5,14,6.0,0.03,18,22.2,0.601,-15.58,-25.49,-0.61
0,0,0.2,17,7.0,0.025,12,16.7,0.38,-15.68,-20.11,-0.78
1,0,0.5,20,6.0,0.02,14,14.3,0.385,-15.92,-18.58,-0.86
1,0,0.2,17,7.0,0.03,11,18.2,0.374,-15.99,-20.4,-0.78
1,0,0.5,17,8.0,0.025,18,16.7,0.582,-16.01,-21.11,-0.76
0,0,0.3,14,6.0,0.025,16,18.8,0.483,-16.27,-24.78,-0.66
0,0,0.4,14,6.0,0.025,16,18.8,0.483,-16.27,-24.78,-0.66
1,0,0.3,14,6.0,0.025,16,18.8,0.483,-16.27,-24.78,-0.66
1,0,0.4,14,6.0,0.025,16,18.8,0.483,-16.27,-24.78,-0.66
0,0,0.5,20,7.0,0.02,15,13.3,0.417,-16.36,-19.76,-0.83
0,0,0.4,14,9.0,0.025,16,12.5,0.493,-16.39,-29.89,-0.55
1,0,0.4,14,9.0,0.025,16,12.5,0.493,-16.39,-29.89,-0.55
1,0,0.3,14,9.0,0.025,16,12.5,0.493,-16.39,-29.89,-0.55
0,0,0.3,14,9.0,0.025,16,12.5,0.493,-16.39,-29.89,-0.55
1,1,0.3,17,6.0,0.03,11,18.2,0.339,-16.47,-17.35,-0.95
0,1,0.4,17,6.0,0.03,11,18.2,0.339,-16.47,-17.35,-0.95
0,0,0.5,20,9.0,0.03,15,13.3,0.545,-16.47,-23.47,-0.7
0,1,0.3,17,6.0,0.03,11,18.2,0.339,-16.47,-17.35,-0.95
1,1,0.4,17,6.0,0.03,11,18.2,0.339,-16.47,-17.35,-0.95
0,1,0.3,20,7.0,0.03,6,0.0,0.0,-16.49,-16.49,-1.0
0,1,0.3,20,9.0,0.03,6,0.0,0.0,-16.49,-16.49,-1.0
0,1,0.3,20,6.0,0.03,6,0.0,0.0,-16.49,-16.49,-1.0
0,1,0.3,20,8.0,0.03,6,0.0,0.0,-16.49,-16.49,-1.0
1,1,0.3,20,8.0,0.03,6,0.0,0.0,-16.56,-16.56,-1.0
1,1,0.3,20,7.0,0.03,6,0.0,0.0,-16.56,-16.56,-1.0
1,1,0.3,20,6.0,0.03,6,0.0,0.0,-16.56,-16.56,-1.0
1,1,0.3,20,9.0,0.03,6,0.0,0.0,-16.56,-16.56,-1.0
1,0,0.5,20,8.0,0.03,14,14.3,0.514,-16.56,-22.52,-0.74
1,1,0.2,17,9.0,0.025,7,0.0,0.0,-16.66,-16.66,-1.0
1,0,0.5,20,7.0,0.025,14,14.3,0.456,-16.74,-20.9,-0.8
0,0,0.2,20,7.0,0.02,8,0.0,0.0,-16.78,-16.78,-1.0
0,0,0.2,20,9.0,0.02,8,0.0,0.0,-16.78,-16.78,-1.0
0,0,0.2,20,8.0,0.02,8,0.0,0.0,-16.78,-16.78,-1.0
0,0,0.2,20,6.0,0.02,8,0.0,0.0,-16.78,-16.78,-1.0
0,0,0.5,17,7.0,0.03,19,21.1,0.593,-16.8,-25.81,-0.65
0,0,0.5,20,8.0,0.025,15,13.3,0.488,-16.89,-21.93,-0.77
0,1,0.2,17,9.0,0.02,8,0.0,0.0,-17.02,-17.02,-1.0
0,0,0.3,14,9.0,0.03,16,12.5,0.518,-17.07,-32.44,-0.53
1,0,0.4,14,9.0,0.03,16,12.5,0.518,-17.07,-32.44,-0.53
0,0,0.4,14,9.0,0.03,16,12.5,0.518,-17.07,-32.44,-0.53
1,0,0.3,14,9.0,0.03,16,12.5,0.518,-17.07,-32.44,-0.53
0,0,0.2,17,6.0,0.025,12,16.7,0.32,-17.09,-20.79,-0.82
1,0,0.2,20,6.0,0.025,7,0.0,0.0,-17.13,-17.13,-1.0
1,0,0.2,20,8.0,0.025,7,0.0,0.0,-17.13,-17.13,-1.0
1,0,0.2,20,9.0,0.025,7,0.0,0.0,-17.13,-17.13,-1.0
1,0,0.2,20,7.0,0.025,7,0.0,0.0,-17.13,-17.13,-1.0
0,0,0.5,17,6.0,0.025,19,21.1,0.532,-17.38,-24.13,-0.72
1,0,0.2,17,6.0,0.03,11,18.2,0.315,-17.39,-21.07,-0.83
1,0,0.3,17,7.0,0.02,15,13.3,0.354,-17.42,-19.92,-0.87
0,0,0.4,17,7.0,0.02,15,13.3,0.354,-17.42,-19.92,-0.87
0,0,0.3,17,7.0,0.02,15,13.3,0.354,-17.42,-19.92,-0.87
1,0,0.4,17,7.0,0.02,15,13.3,0.354,-17.42,-19.92,-0.87
0,0,0.2,17,8.0,0.02,12,8.3,0.258,-17.5,-17.5,-1.0
1,1,0.4,20,6.0,0.025,7,0.0,0.0,-17.56,-17.56,-1.0
1,1,0.4,20,7.0,0.025,7,0.0,0.0,-17.56,-17.56,-1.0
1,1,0.4,20,8.0,0.025,7,0.0,0.0,-17.56,-17.56,-1.0
1,1,0.4,20,9.0,0.025,7,0.0,0.0,-17.56,-17.56,-1.0
0,1,0.4,20,9.0,0.025,7,0.0,0.0,-17.58,-17.58,-1.0
0,1,0.4,20,6.0,0.025,7,0.0,0.0,-17.58,-17.58,-1.0
0,1,0.4,20,7.0,0.025,7,0.0,0.0,-17.58,-17.58,-1.0
0,1,0.4,20,8.0,0.025,7,0.0,0.0,-17.58,-17.58,-1.0
0,0,0.5,14,6.0,0.03,19,21.1,0.568,-17.58,-27.25,-0.65
0,0,0.4,14,6.0,0.03,16,18.8,0.484,-17.87,-27.51,-0.65
0,0,0.3,14,6.0,0.03,16,18.8,0.484,-17.87,-27.51,-0.65
1,0,0.3,14,6.0,0.03,16,18.8,0.484,-17.87,-27.51,-0.65
1,0,0.4,14,6.0,0.03,16,18.8,0.484,-17.87,-27.51,-0.65
0,0,0.5,20,6.0,0.02,15,13.3,0.355,-17.92,-20.52,-0.87
0,0,0.5,17,8.0,0.025,19,15.8,0.55,-18.0,-22.98,-0.78
1,1,0.2,17,9.0,0.03,7,0.0,0.0,-18.12,-18.12,-1.0
1,0,0.5,17,6.0,0.03,18,22.2,0.532,-18.25,-25.47,-0.72
0,0,0.5,20,8.0,0.03,15,13.3,0.484,-18.47,-24.29,-0.76
1,0,0.5,17,8.0,0.03,18,16.7,0.558,-18.52,-24.35,-0.76
1,0,0.5,20,7.0,0.03,14,14.3,0.449,-18.58,-23.36,-0.8
1,0,0.5,20,6.0,0.025,14,14.3,0.389,-18.61,-21.76,-0.85
0,1,0.3,17,8.0,0.025,11,9.1,0.253,-18.69,-18.69,-1.0
0,0,0.2,17,7.0,0.03,12,16.7,0.334,-18.69,-22.96,-0.81
0,1,0.4,17,8.0,0.025,11,9.1,0.253,-18.69,-18.69,-1.0
1,1,0.4,17,8.0,0.025,11,9.1,0.253,-18.69,-18.69,-1.0
1,1,0.3,17,8.0,0.025,11,9.1,0.253,-18.69,-18.69,-1.0
0,0,0.5,20,7.0,0.025,15,13.3,0.426,-18.73,-22.78,-0.82
1,0,0.5,17,9.0,0.02,18,11.1,0.443,-18.75,-23.49,-0.8
0,1,0.4,20,7.0,0.03,7,0.0,0.0,-18.76,-18.76,-1.0
0,1,0.4,20,6.0,0.03,7,0.0,0.0,-18.76,-18.76,-1.0
0,1,0.4,20,9.0,0.03,7,0.0,0.0,-18.76,-18.76,-1.0
0,1,0.4,20,8.0,0.03,7,0.0,0.0,-18.76,-18.76,-1.0
1,0,0.3,17,6.0,0.02,15,13.3,0.299,-18.8,-20.6,-0.91
1,0,0.4,17,6.0,0.02,15,13.3,0.299,-18.8,-20.6,-0.91
0,0,0.4,17,6.0,0.02,15,13.3,0.299,-18.8,-20.6,-0.91
0,0,0.3,17,6.0,0.02,15,13.3,0.299,-18.8,-20.6,-0.91
1,1,0.4,20,6.0,0.03,7,0.0,0.0,-18.83,-18.83,-1.0
1,1,0.4,20,8.0,0.03,7,0.0,0.0,-18.83,-18.83,-1.0
1,1,0.4,20,7.0,0.03,7,0.0,0.0,-18.83,-18.83,-1.0
1,1,0.4,20,9.0,0.03,7,0.0,0.0,-18.83,-18.83,-1.0
1,0,0.2,17,8.0,0.025,11,9.1,0.241,-18.84,-18.84,-1.0
1,0,0.2,20,6.0,0.03,7,0.0,0.0,-19.03,-19.03,-1.0
1,0,0.2,20,7.0,0.03,7,0.0,0.0,-19.03,-19.03,-1.0
1,0,0.2,20,8.0,0.03,7,0.0,0.0,-19.03,-19.03,-1.0
1,0,0.2,20,9.0,0.03,7,0.0,0.0,-19.03,-19.03,-1.0
0,1,0.2,17,9.0,0.025,8,0.0,0.0,-19.22,-19.22,-1.0
0,0,0.2,20,6.0,0.025,8,0.0,0.0,-19.68,-19.68,-1.0
0,0,0.2,20,7.0,0.025,8,0.0,0.0,-19.68,-19.68,-1.0
0,0,0.2,20,9.0,0.025,8,0.0,0.0,-19.68,-19.68,-1.0
0,0,0.2,20,8.0,0.025,8,0.0,0.0,-19.68,-19.68,-1.0
0,0,0.2,17,6.0,0.03,12,16.7,0.282,-20.05,-23.61,-0.85
0,0,0.5,17,6.0,0.03,19,21.1,0.502,-20.19,-27.24,-0.74
0,0,0.5,20,7.0,0.03,15,13.3,0.423,-20.44,-25.11,-0.81
0,0,0.5,17,8.0,0.03,19,15.8,0.529,-20.45,-26.14,-0.78
0,0,0.5,20,6.0,0.025,15,13.3,0.363,-20.55,-23.63,-0.87
1,0,0.5,20,6.0,0.03,14,14.3,0.383,-20.57,-24.2,-0.85
0,0,0.5,17,9.0,0.02,19,10.5,0.417,-20.67,-25.3,-0.82
1,0,0.3,20,9.0,0.02,10,0.0,0.0,-20.68,-20.68,-1.0
1,0,0.3,20,8.0,0.02,10,0.0,0.0,-20.68,-20.68,-1.0
1,0,0.3,20,7.0,0.02,10,0.0,0.0,-20.68,-20.68,-1.0
1,0,0.3,20,6.0,0.02,10,0.0,0.0,-20.68,-20.68,-1.0
0,0,0.3,20,7.0,0.02,10,0.0,0.0,-20.69,-20.69,-1.0
0,0,0.3,20,9.0,0.02,10,0.0,0.0,-20.69,-20.69,-1.0
0,0,0.3,20,6.0,0.02,10,0.0,0.0,-20.69,-20.69,-1.0
0,0,0.3,20,8.0,0.02,10,0.0,0.0,-20.69,-20.69,-1.0
0,1,0.4,17,8.0,0.03,11,9.1,0.233,-20.75,-20.75,-1.0
0,1,0.3,17,8.0,0.03,11,9.1,0.233,-20.75,-20.75,-1.0
1,1,0.3,17,8.0,0.03,11,9.1,0.233,-20.75,-20.75,-1.0
0,1,0.2,17,9.0,0.03,8,0.0,0.0,-20.75,-20.75,-1.0
1,1,0.4,17,8.0,0.03,11,9.1,0.233,-20.75,-20.75,-1.0
1,0,0.5,17,9.0,0.025,18,11.1,0.454,-21.3,-26.92,-0.79
0,0,0.2,17,8.0,0.025,12,8.3,0.219,-21.34,-21.34,-1.0
1,0,0.2,17,8.0,0.03,11,9.1,0.215,-21.62,-21.62,-1.0
0,0,0.2,20,8.0,0.03,8,0.0,0.0,-21.64,-21.64,-1.0
0,0,0.2,20,6.0,0.03,8,0.0,0.0,-21.64,-21.64,-1.0
0,0,0.2,20,7.0,0.03,8,0.0,0.0,-21.64,-21.64,-1.0
0,0,0.2,20,9.0,0.03,8,0.0,0.0,-21.64,-21.64,-1.0
1,0,0.4,17,7.0,0.025,15,13.3,0.293,-22.21,-24.13,-0.92
1,0,0.3,17,7.0,0.025,15,13.3,0.293,-22.21,-24.13,-0.92
0,0,0.4,17,7.0,0.025,15,13.3,0.293,-22.21,-24.13,-0.92
0,0,0.3,17,7.0,0.025,15,13.3,0.293,-22.21,-24.13,-0.92
0,0,0.5,20,6.0,0.03,15,13.3,0.36,-22.39,-25.94,-0.86
1,0,0.2,17,9.0,0.02,11,0.0,0.0,-22.49,-22.49,-1.0
0,1,0.4,17,9.0,0.02,11,0.0,0.0,-22.5,-22.5,-1.0
1,1,0.4,17,9.0,0.02,11,0.0,0.0,-22.5,-22.5,-1.0
1,1,0.3,17,9.0,0.02,11,0.0,0.0,-22.5,-22.5,-1.0
0,1,0.3,17,9.0,0.02,11,0.0,0.0,-22.5,-22.5,-1.0
1,0,0.4,20,6.0,0.02,11,0.0,0.0,-22.72,-22.72,-1.0
1,0,0.4,20,9.0,0.02,11,0.0,0.0,-22.72,-22.72,-1.0
1,0,0.4,20,8.0,0.02,11,0.0,0.0,-22.72,-22.72,-1.0
1,0,0.4,20,7.0,0.02,11,0.0,0.0,-22.72,-22.72,-1.0
0,0,0.4,20,9.0,0.02,11,0.0,0.0,-22.73,-22.73,-1.0
0,0,0.4,20,6.0,0.02,11,0.0,0.0,-22.73,-22.73,-1.0
0,0,0.4,20,8.0,0.02,11,0.0,0.0,-22.73,-22.73,-1.0
0,0,0.4,20,7.0,0.02,11,0.0,0.0,-22.73,-22.73,-1.0
1,0,0.3,17,8.0,0.02,15,6.7,0.205,-22.96,-22.96,-1.0
0,0,0.3,17,8.0,0.02,15,6.7,0.205,-22.96,-22.96,-1.0
1,0,0.4,17,8.0,0.02,15,6.7,0.205,-22.96,-22.96,-1.0
0,0,0.4,17,8.0,0.02,15,6.7,0.205,-22.96,-22.96,-1.0
0,0,0.5,17,9.0,0.025,19,10.5,0.43,-23.17,-28.65,-0.81
1,0,0.5,17,9.0,0.03,18,11.1,0.445,-23.5,-29.91,-0.79
1,0,0.3,17,6.0,0.025,15,13.3,0.248,-23.51,-24.76,-0.95
0,0,0.3,17,6.0,0.025,15,13.3,0.248,-23.51,-24.76,-0.95
0,0,0.4,17,6.0,0.025,15,13.3,0.248,-23.51,-24.76,-0.95
1,0,0.4,17,6.0,0.025,15,13.3,0.248,-23.51,-24.76,-0.95
0,0,0.2,17,8.0,0.03,12,8.3,0.197,-24.14,-24.14,-1.0
1,0,0.3,20,9.0,0.025,10,0.0,0.0,-24.37,-24.37,-1.0
1,0,0.3,20,6.0,0.025,10,0.0,0.0,-24.37,-24.37,-1.0
1,0,0.3,20,7.0,0.025,10,0.0,0.0,-24.37,-24.37,-1.0
1,0,0.3,20,8.0,0.025,10,0.0,0.0,-24.37,-24.37,-1.0
0,0,0.3,20,9.0,0.025,10,0.0,0.0,-24.38,-24.38,-1.0
0,0,0.3,20,7.0,0.025,10,0.0,0.0,-24.38,-24.38,-1.0
0,0,0.3,20,8.0,0.025,10,0.0,0.0,-24.38,-24.38,-1.0
0,0,0.3,20,6.0,0.025,10,0.0,0.0,-24.38,-24.38,-1.0
0,0,0.2,17,9.0,0.02,12,0.0,0.0,-24.39,-24.39,-1.0
0,0,0.5,17,9.0,0.03,19,10.5,0.424,-25.31,-31.57,-0.8
1,1,0.4,17,9.0,0.025,11,0.0,0.0,-25.48,-25.48,-1.0
0,1,0.4,17,9.0,0.025,11,0.0,0.0,-25.48,-25.48,-1.0
0,0,0.4,17,7.0,0.03,15,13.3,0.261,-25.48,-26.88,-0.95
0,1,0.3,17,9.0,0.025,11,0.0,0.0,-25.48,-25.48,-1.0
1,0,0.3,17,7.0,0.03,15,13.3,0.261,-25.48,-26.88,-0.95
0,0,0.3,17,7.0,0.03,15,13.3,0.261,-25.48,-26.88,-0.95
1,1,0.3,17,9.0,0.025,11,0.0,0.0,-25.48,-25.48,-1.0
1,0,0.4,17,7.0,0.03,15,13.3,0.261,-25.48,-26.88,-0.95
1,0,0.2,17,9.0,0.025,11,0.0,0.0,-25.62,-25.62,-1.0
1,0,0.4,20,8.0,0.025,11,0.0,0.0,-26.43,-26.43,-1.0
1,0,0.4,20,9.0,0.025,11,0.0,0.0,-26.43,-26.43,-1.0
1,0,0.4,20,7.0,0.025,11,0.0,0.0,-26.43,-26.43,-1.0
1,0,0.4,20,6.0,0.025,11,0.0,0.0,-26.43,-26.43,-1.0
0,0,0.4,20,8.0,0.025,11,0.0,0.0,-26.44,-26.44,-1.0
0,0,0.4,20,6.0,0.025,11,0.0,0.0,-26.44,-26.44,-1.0
0,0,0.4,20,7.0,0.025,11,0.0,0.0,-26.44,-26.44,-1.0
0,0,0.4,20,9.0,0.025,11,0.0,0.0,-26.44,-26.44,-1.0
1,0,0.4,17,6.0,0.03,15,13.3,0.22,-26.72,-27.5,-0.97
0,0,0.4,17,6.0,0.03,15,13.3,0.22,-26.72,-27.5,-0.97
1,0,0.3,17,6.0,0.03,15,13.3,0.22,-26.72,-27.5,-0.97
0,0,0.3,17,6.0,0.03,15,13.3,0.22,-26.72,-27.5,-0.97
0,0,0.3,20,6.0,0.03,10,0.0,0.0,-26.74,-26.74,-1.0
0,0,0.3,20,8.0,0.03,10,0.0,0.0,-26.74,-26.74,-1.0
0,0,0.3,20,9.0,0.03,10,0.0,0.0,-26.74,-26.74,-1.0
0,0,0.3,20,7.0,0.03,10,0.0,0.0,-26.74,-26.74,-1.0
1,0,0.3,20,7.0,0.03,10,0.0,0.0,-26.8,-26.8,-1.0
1,0,0.3,20,6.0,0.03,10,0.0,0.0,-26.8,-26.8,-1.0
1,0,0.3,20,9.0,0.03,10,0.0,0.0,-26.8,-26.8,-1.0
1,0,0.3,20,8.0,0.03,10,0.0,0.0,-26.8,-26.8,-1.0
1,1,0.4,17,9.0,0.03,11,0.0,0.0,-27.37,-27.37,-1.0
0,1,0.4,17,9.0,0.03,11,0.0,0.0,-27.37,-27.37,-1.0
0,1,0.3,17,9.0,0.03,11,0.0,0.0,-27.37,-27.37,-1.0
1,1,0.3,17,9.0,0.03,11,0.0,0.0,-27.37,-27.37,-1.0
1,0,0.3,17,8.0,0.025,15,6.7,0.175,-27.43,-27.43,-1.0
0,0,0.4,17,8.0,0.025,15,6.7,0.175,-27.43,-27.43,-1.0
0,0,0.3,17,8.0,0.025,15,6.7,0.175,-27.43,-27.43,-1.0
1,0,0.4,17,8.0,0.025,15,6.7,0.175,-27.43,-27.43,-1.0
0,0,0.2,17,9.0,0.025,12,0.0,0.0,-27.91,-27.91,-1.0
1,0,0.2,17,9.0,0.03,11,0.0,0.0,-28.17,-28.17,-1.0
0,0,0.4,20,9.0,0.03,11,0.0,0.0,-28.73,-28.73,-1.0
0,0,0.4,20,7.0,0.03,11,0.0,0.0,-28.73,-28.73,-1.0
0,0,0.4,20,6.0,0.03,11,0.0,0.0,-28.73,-28.73,-1.0
0,0,0.4,20,8.0,0.03,11,0.0,0.0,-28.73,-28.73,-1.0
1,0,0.4,20,8.0,0.03,11,0.0,0.0,-28.8,-28.8,-1.0
1,0,0.4,20,9.0,0.03,11,0.0,0.0,-28.8,-28.8,-1.0
1,0,0.4,20,7.0,0.03,11,0.0,0.0,-28.8,-28.8,-1.0
1,0,0.4,20,6.0,0.03,11,0.0,0.0,-28.8,-28.8,-1.0
0,0,0.3,17,9.0,0.02,15,0.0,0.0,-29.39,-29.39,-1.0
0,0,0.4,17,9.0,0.02,15,0.0,0.0,-29.39,-29.39,-1.0
1,0,0.4,17,9.0,0.02,15,0.0,0.0,-29.39,-29.39,-1.0
1,0,0.3,17,9.0,0.02,15,0.0,0.0,-29.39,-29.39,-1.0
0,0,0.2,17,9.0,0.03,12,0.0,0.0,-30.48,-30.48,-1.0
1,0,0.3,17,8.0,0.03,15,6.7,0.158,-30.48,-30.48,-1.0
0,0,0.3,17,8.0,0.03,15,6.7,0.158,-30.48,-30.48,-1.0
1,0,0.4,17,8.0,0.03,15,6.7,0.158,-30.48,-30.48,-1.0
0,0,0.4,17,8.0,0.03,15,6.7,0.158,-30.48,-30.48,-1.0
0,0,0.3,17,9.0,0.025,15,0.0,0.0,-33.49,-33.49,-1.0
1,0,0.3,17,9.0,0.025,15,0.0,0.0,-33.49,-33.49,-1.0
1,0,0.4,17,9.0,0.025,15,0.0,0.0,-33.49,-33.49,-1.0
0,0,0.4,17,9.0,0.025,15,0.0,0.0,-33.49,-33.49,-1.0
1,0,0.4,17,9.0,0.03,15,0.0,0.0,-36.28,-36.28,-1.0
0,0,0.3,17,9.0,0.03,15,0.0,0.0,-36.28,-36.28,-1.0
1,0,0.3,17,9.0,0.03,15,0.0,0.0,-36.28,-36.28,-1.0
0,0,0.4,17,9.0,0.03,15,0.0,0.0,-36.28,-36.28,-1.0
