rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1,0,shorts,14,2.0,10.0,0.02,24,25.0,1.047,1.81,-6.02,0.3
0,0,longs,17,1.5,5.0,0.025,14,35.7,1.118,1.8,-4.2,0.43
0,0,longs,17,1.5,5.0,0.02,14,35.7,1.118,1.8,-4.2,0.43
1,1,shorts,20,1.5,8.0,0.025,15,33.3,1.075,1.76,0.0,inf
0,0,longs,20,1.5,7.0,0.02,9,33.3,1.171,1.74,-3.58,0.49
0,0,longs,20,1.5,7.0,0.025,9,33.3,1.171,1.74,-3.58,0.49
0,1,longs,17,1.5,5.0,0.02,14,35.7,1.112,1.72,-4.2,0.41
0,1,longs,17,1.5,5.0,0.025,14,35.7,1.112,1.72,-4.2,0.41
1,0,shorts,20,1.5,8.0,0.025,15,33.3,1.073,1.71,0.0,inf
0,1,shorts,17,1.5,8.0,0.02,21,28.6,1.055,1.67,0.0,inf
0,1,shorts,14,2.0,6.0,0.02,24,37.5,1.048,1.57,-4.98,0.32
0,1,shorts,14,2.0,8.0,0.025,23,30.4,1.041,1.53,-3.05,0.5
1,1,shorts,20,1.5,10.0,0.02,15,26.7,1.067,1.51,-3.28,0.46
1,0,shorts,20,1.5,10.0,0.02,15,26.7,1.065,1.46,-3.28,0.44
0,1,shorts,20,2.0,9.0,0.025,16,31.2,1.053,1.46,0.0,inf
1,0,shorts,14,1.5,8.0,0.02,25,28.0,1.039,1.46,0.0,inf
0,0,shorts,17,2.0,9.0,0.025,20,30.0,1.041,1.44,0.0,inf
0,1,shorts,14,1.5,8.0,0.025,25,28.0,1.038,1.43,-0.32,4.49
0,0,shorts,20,2.0,9.0,0.025,16,31.2,1.049,1.37,0.0,inf
1,1,shorts,17,2.0,10.0,0.02,19,26.3,1.043,1.35,-0.08,16.48
1,1,shorts,14,1.5,7.0,0.02,23,30.4,1.039,1.24,-0.4,3.07
0,1,shorts,17,1.5,10.0,0.02,21,23.8,1.037,1.17,0.0,inf
0,0,shorts,17,1.5,9.0,0.025,22,27.3,1.032,1.11,0.0,inf
0,1,shorts,17,2.0,8.0,0.02,20,30.0,1.029,0.9,0.0,inf
1,0,shorts,14,2.0,8.0,0.02,24,29.2,1.023,0.84,-2.66,0.31
1,0,shorts,17,2.0,9.0,0.025,20,30.0,1.024,0.83,0.0,inf
1,1,both,20,1.5,9.0,0.02,23,26.1,1.022,0.74,-2.26,0.33
0,0,shorts,14,1.5,9.0,0.025,27,25.9,1.016,0.69,0.0,inf
1,1,shorts,17,1.5,7.0,0.02,19,31.6,1.024,0.63,0.0,inf
0,1,shorts,20,1.5,8.0,0.02,17,29.4,1.022,0.54,0.0,inf
1,1,shorts,14,2.0,7.0,0.02,22,31.8,1.015,0.48,-3.27,0.15
0,0,shorts,20,1.5,8.0,0.02,17,29.4,1.02,0.48,0.0,inf
0,0,longs,20,2.0,5.0,0.02,9,44.4,1.045,0.45,-6.83,0.07
0,0,longs,20,2.0,5.0,0.025,9,44.4,1.045,0.45,-6.83,0.07
0,1,both,20,1.5,8.0,0.02,25,28.0,1.01,0.33,-1.91,0.17
1,1,shorts,20,1.5,7.0,0.02,15,33.3,1.013,0.27,0.0,inf
1,0,shorts,20,1.5,7.0,0.02,15,33.3,1.01,0.22,0.0,inf
0,1,longs,20,1.5,5.0,0.02,8,37.5,1.015,0.13,-5.06,0.02
0,1,longs,20,1.5,5.0,0.025,8,37.5,1.015,0.13,-5.06,0.02
1,0,shorts,14,1.5,10.0,0.025,25,24.0,1.003,0.11,-3.65,0.03
1,0,shorts,17,1.5,8.0,0.025,20,30.0,1.003,0.1,0.0,inf
1,0,shorts,17,2.0,8.0,0.02,20,30.0,1.0,-0.01,-0.01,-1.0
1,0,longs,20,2.0,5.0,0.025,9,44.4,0.992,-0.09,-7.22,-0.01
1,0,longs,20,2.0,5.0,0.02,9,44.4,0.992,-0.09,-7.22,-0.01
0,1,shorts,17,1.5,8.0,0.025,21,28.6,0.996,-0.13,-0.13,-1.0
