tp,td,mb,trades,wr,pf,net,max_dd,calmar
2.5,0.1,15,48,52.083333333333336,0.9836382305064671,-0.919864761222925,-13.249589291521986,-0.069425907549566
2.5,0.1,20,48,56.25,1.0205619878720114,1.1831271604354698,-14.090882156352183,0.08396402349459114
2.5,0.1,25,48,54.166666666666664,1.0566757025736544,3.282355955551011,-13.88550361275862,0.23638724579892342
2.5,0.1,30,48,56.25,1.139222339324407,8.10880856722877,-11.845040208454696,0.6845741698234932
2.5,0.2,15,48,52.083333333333336,0.9836382305064671,-0.919864761222925,-13.249589291521986,-0.069425907549566
2.5,0.2,20,48,56.25,1.0205619878720114,1.1831271604354698,-14.090882156352183,0.08396402349459114
2.5,0.2,25,48,54.166666666666664,1.0566757025736544,3.282355955551011,-13.88550361275862,0.23638724579892342
2.5,0.2,30,48,56.25,1.139222339324407,8.10880856722877,-11.845040208454696,0.6845741698234932
2.5,0.3,15,48,52.083333333333336,0.9836382305064671,-0.919864761222925,-13.249589291521986,-0.069425907549566
2.5,0.3,20,48,56.25,1.0205619878720114,1.1831271604354698,-14.090882156352183,0.08396402349459114
2.5,0.3,25,48,54.166666666666664,1.0566757025736544,3.282355955551011,-13.88550361275862,0.23638724579892342
2.5,0.3,30,48,56.25,1.139222339324407,8.10880856722877,-11.845040208454696,0.6845741698234932
2.5,0.4,15,48,52.083333333333336,0.9836382305064671,-0.919864761222925,-13.249589291521986,-0.069425907549566
2.5,0.4,20,48,56.25,1.0205619878720114,1.1831271604354698,-14.090882156352183,0.08396402349459114
2.5,0.4,25,48,54.166666666666664,1.0566757025736544,3.282355955551011,-13.88550361275862,0.23638724579892342
2.5,0.4,30,48,56.25,1.139222339324407,8.10880856722877,-11.845040208454696,0.6845741698234932
3.0,0.1,15,48,47.91666666666667,0.9671988145628477,-1.9147513409919519,-12.913003240035719,-0.1482808689349214
3.0,0.1,20,47,51.06382978723404,0.9966079211773344,-0.21019422932538873,-14.935982710278589,-0.014073009684239796
3.0,0.1,25,47,46.808510638297875,1.0061772947183958,0.3979875658782112,-13.92676331720199,0.028577175960664666
3.0,0.1,30,47,48.93617021276596,1.0222282118299053,1.4625970147346379,-11.902318176996134,0.12288337389277919
3.0,0.2,15,48,47.91666666666667,0.9671988145628477,-1.9147513409919519,-12.913003240035719,-0.1482808689349214
3.0,0.2,20,47,51.06382978723404,0.9966079211773344,-0.21019422932538873,-14.935982710278589,-0.014073009684239796
3.0,0.2,25,47,46.808510638297875,1.0061772947183958,0.3979875658782112,-13.92676331720199,0.028577175960664666
3.0,0.2,30,47,48.93617021276596,1.0222282118299053,1.4625970147346379,-11.902318176996134,0.12288337389277919
3.0,0.3,15,48,47.91666666666667,0.9671988145628477,-1.9147513409919519,-12.913003240035719,-0.1482808689349214
3.0,0.3,20,47,51.06382978723404,0.9966079211773344,-0.21019422932538873,-14.935982710278589,-0.014073009684239796
3.0,0.3,25,47,46.808510638297875,1.0061772947183958,0.3979875658782112,-13.92676331720199,0.028577175960664666
3.0,0.3,30,47,48.93617021276596,1.0222282118299053,1.4625970147346379,-11.902318176996134,0.12288337389277919
3.0,0.4,15,48,47.91666666666667,0.9671988145628477,-1.9147513409919519,-12.913003240035719,-0.1482808689349214
3.0,0.4,20,47,51.06382978723404,0.9966079211773344,-0.21019422932538873,-14.935982710278589,-0.014073009684239796
3.0,0.4,25,47,46.808510638297875,1.0061772947183958,0.3979875658782112,-13.92676331720199,0.028577175960664666
3.0,0.4,30,47,48.93617021276596,1.0222282118299053,1.4625970147346379,-11.902318176996134,0.12288337389277919
3.5,0.1,15,48,47.91666666666667,1.1116004411273428,6.779409787405457,-12.576417188549428,0.5390573233828448
3.5,0.1,20,47,48.93617021276596,1.055245270350031,3.5325179365252737,-17.28814457408774,0.204331813711228
3.5,0.1,25,47,44.680851063829785,1.1052397015400977,7.054125835300892,-15.69989124057348,0.4493104905765718
3.5,0.1,30,47,46.808510638297875,1.1203015235411824,8.290741717279998,-13.941931422163298,0.594662351021202
3.5,0.2,15,48,47.91666666666667,1.1116004411273428,6.779409787405457,-12.576417188549428,0.5390573233828448
3.5,0.2,20,47,48.93617021276596,1.055245270350031,3.5325179365252737,-17.28814457408774,0.204331813711228
3.5,0.2,25,47,44.680851063829785,1.1052397015400977,7.054125835300892,-15.69989124057348,0.4493104905765718
3.5,0.2,30,47,46.808510638297875,1.1203015235411824,8.290741717279998,-13.941931422163298,0.594662351021202
