adx,pb_pct,vol_mult,min_body,tp_mult,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
16,0.28,0.5,0.15,9.0,0.2,30,2.0,10,40.0,1.03,0.34,10033.92,-8.72,0.039
16,0.28,0.5,0.15,9.0,0.3,20,2.0,10,70.0,2.796,8.32,10832.41,-3.65,2.278
16,0.28,0.5,0.15,9.0,0.3,25,2.0,10,50.0,1.622,4.66,10465.85,-4.56,1.021
16,0.28,0.5,0.15,9.0,0.3,30,2.0,10,40.0,1.009,0.1,10009.75,-8.72,0.011
16,0.28,0.5,0.15,9.0,0.4,20,2.0,10,70.0,2.743,8.06,10806.3,-3.65,2.206
16,0.28,0.5,0.15,9.0,0.4,25,2.0,10,50.0,1.59,4.41,10440.62,-4.56,0.966
16,0.28,0.5,0.15,9.0,0.4,30,2.0,10,40.0,0.987,-0.14,9985.62,-8.72,-0.016
16,0.28,0.5,0.15,9.0,0.2,20,2.5,10,70.0,2.856,8.62,10862.19,-3.62,2.38
16,0.28,0.5,0.15,9.0,0.2,25,2.5,10,50.0,1.664,4.98,10497.96,-4.5,1.107
16,0.28,0.5,0.15,9.0,0.2,30,2.5,10,40.0,1.024,0.28,10027.61,-8.78,0.031
16,0.28,0.5,0.15,9.0,0.3,20,2.5,10,70.0,2.804,8.36,10836.03,-3.62,2.308
16,0.28,0.5,0.15,9.0,0.3,25,2.5,10,50.0,1.631,4.73,10472.67,-4.5,1.051
16,0.28,0.5,0.15,9.0,0.3,30,2.5,10,40.0,1.003,0.03,10003.46,-8.78,0.004
16,0.28,0.5,0.15,9.0,0.4,20,2.5,10,70.0,2.751,8.1,10809.91,-3.62,2.236
16,0.28,0.5,0.15,9.0,0.4,25,2.5,10,50.0,1.599,4.47,10447.43,-4.5,0.995
16,0.28,0.5,0.15,9.0,0.4,30,2.5,10,40.0,0.982,-0.21,9979.34,-8.78,-0.024
16,0.28,0.5,0.2,7.0,0.2,20,1.5,10,70.0,3.055,8.86,10885.69,-3.42,2.588
16,0.28,0.5,0.2,7.0,0.2,25,1.5,10,50.0,1.724,5.16,10515.97,-4.34,1.188
16,0.28,0.5,0.2,7.0,0.2,30,1.5,10,40.0,1.12,1.25,10125.32,-7.9,0.159
16,0.28,0.5,0.2,7.0,0.3,20,1.5,10,70.0,3.011,8.65,10865.27,-3.42,2.528
16,0.28,0.5,0.2,7.0,0.3,25,1.5,10,50.0,1.698,4.96,10496.24,-4.34,1.143
16,0.28,0.5,0.2,7.0,0.3,30,1.5,10,40.0,1.102,1.06,10106.32,-7.9,0.135
16,0.28,0.5,0.2,7.0,0.4,20,1.5,10,70.0,2.968,8.45,10844.88,-3.42,2.469
16,0.28,0.5,0.2,7.0,0.4,25,1.5,10,50.0,1.672,4.77,10476.54,-4.34,1.097
16,0.28,0.5,0.2,7.0,0.4,30,1.5,10,40.0,1.084,0.87,10087.35,-7.9,0.111
16,0.28,0.5,0.2,7.0,0.2,20,2.0,10,70.0,2.851,8.59,10859.48,-3.65,2.352
16,0.28,0.5,0.2,7.0,0.2,25,2.0,10,50.0,1.656,4.92,10492.01,-4.56,1.079
16,0.28,0.5,0.2,7.0,0.2,30,2.0,10,40.0,1.031,0.35,10034.77,-8.72,0.04
16,0.28,0.5,0.2,7.0,0.3,20,2.0,10,70.0,2.811,8.39,10839.11,-3.65,2.296
16,0.28,0.5,0.2,7.0,0.3,25,2.0,10,50.0,1.631,4.72,10472.33,-4.56,1.036
