trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
2.5,0.3,5.0,0,11,90.9,11.841,14.49,11449.11,-1.31,11.039
2.5,0.3,5.5,18,11,54.5,5.237,7.9,10790.34,-1.19,6.623
2.5,0.3,5.5,22,11,63.6,9.59,10.28,11028.37,-0.85,12.116
2.5,0.3,5.5,25,11,90.9,79.248,12.21,11221.02,-0.15,79.679
2.5,0.3,5.5,30,11,90.9,45.544,14.19,11418.58,-0.31,45.359
2.5,0.3,5.5,0,11,90.9,12.47,15.33,11533.27,-1.31,11.68
2.5,0.3,6.0,18,11,54.5,5.513,8.43,10843.01,-1.19,7.064
2.5,0.3,6.0,22,11,63.6,10.039,10.82,11082.2,-0.85,12.75
2.5,0.3,6.0,25,11,90.9,82.758,12.76,11275.79,-0.15,83.253
2.5,0.3,6.0,30,11,90.9,47.295,14.74,11474.31,-0.31,47.141
2.5,0.3,6.0,0,11,90.9,12.973,16.0,11600.46,-1.31,12.192
2.5,0.4,4.0,18,11,54.5,4.243,6.01,10601.31,-1.19,5.039
2.5,0.4,4.0,22,11,63.6,7.947,8.3,10829.83,-0.85,9.777
2.5,0.4,4.0,25,11,90.9,66.401,10.19,11019.02,-0.15,66.497
2.5,0.4,4.0,30,11,90.9,38.799,12.02,11201.93,-0.31,38.432
2.5,0.4,4.0,0,11,90.9,10.228,12.32,11231.63,-1.31,9.382
2.5,0.4,4.5,18,11,54.5,4.652,6.8,10679.63,-1.19,5.695
2.5,0.4,4.5,22,11,63.6,8.598,9.1,10909.84,-0.85,10.719
2.5,0.4,4.5,25,11,90.9,71.453,11.0,11100.42,-0.15,71.81
2.5,0.4,4.5,30,11,90.9,41.302,12.85,11284.69,-0.31,41.078
2.5,0.4,4.5,0,11,90.9,11.033,13.42,11342.42,-1.31,10.226
2.5,0.4,5.0,18,11,54.5,4.851,7.17,10716.57,-1.19,6.005
2.5,0.4,5.0,22,11,63.6,8.924,9.48,10947.58,-0.85,11.164
2.5,0.4,5.0,25,11,90.9,74.016,11.39,11138.82,-0.15,74.315
2.5,0.4,5.0,30,11,90.9,42.586,13.24,11323.72,-0.31,42.326
2.5,0.4,5.0,0,11,90.9,11.55,14.1,11409.56,-1.31,10.738
2.5,0.4,5.5,18,11,54.5,5.128,7.69,10769.01,-1.19,6.444
2.5,0.4,5.5,22,11,63.6,9.372,10.01,11001.14,-0.85,11.795
2.5,0.4,5.5,25,11,90.9,77.511,11.93,11193.32,-0.15,77.872
2.5,0.4,5.5,30,11,90.9,44.327,13.79,11379.13,-0.31,44.098
2.5,0.4,5.5,0,11,90.9,12.178,14.93,11493.43,-1.31,11.376
2.5,0.4,6.0,18,11,54.5,5.405,8.22,10821.57,-1.19,6.885
2.5,0.4,6.0,22,11,63.6,9.822,10.55,11054.84,-0.85,12.428
2.5,0.4,6.0,25,11,90.9,81.014,12.48,11247.96,-0.15,81.437
2.5,0.4,6.0,30,11,90.9,46.072,14.35,11434.67,-0.31,45.874
2.5,0.4,6.0,0,11,90.9,12.636,15.55,11554.74,-1.31,11.843
2.5,0.5,4.0,18,11,54.5,4.161,5.86,10585.54,-1.19,4.907
2.5,0.5,4.0,22,11,63.6,7.772,8.08,10808.4,-0.85,9.524
2.5,0.5,4.0,25,11,90.9,65.002,9.97,10997.21,-0.15,65.074
2.5,0.5,4.0,30,11,90.9,37.753,11.69,11168.7,-0.31,37.369
2.5,0.5,4.0,0,11,90.9,9.978,11.98,11198.31,-1.31,9.128
2.5,0.5,4.5,18,11,54.5,4.57,6.64,10663.75,-1.19,5.562
2.5,0.5,4.5,22,11,63.6,8.423,8.88,10888.25,-0.85,10.465
2.5,0.5,4.5,25,11,90.9,70.046,10.78,11078.45,-0.15,70.376
2.5,0.5,4.5,30,11,90.9,40.252,12.51,11251.21,-0.31,40.008
2.5,0.5,4.5,0,11,90.9,10.781,13.09,11308.77,-1.31,9.97
2.5,0.5,5.0,18,11,54.5,4.743,6.95,10695.38,-1.19,5.827
2.5,0.5,5.0,22,11,63.6,8.708,9.21,10920.54,-0.85,10.845
2.5,0.5,5.0,25,11,90.9,72.288,11.11,11111.31,-0.15,72.52
2.5,0.5,5.0,30,11,90.9,41.377,12.85,11284.58,-0.31,41.075
2.5,0.5,5.0,0,11,90.9,11.26,13.7,11370.12,-1.31,10.437
2.5,0.5,5.5,18,11,54.5,5.019,7.48,10747.71,-1.19,6.266
2.5,0.5,5.5,22,11,63.6,9.155,9.74,10973.98,-0.85,11.475
2.5,0.5,5.5,25,11,90.9,75.775,11.66,11165.68,-0.15,76.068
2.5,0.5,5.5,30,11,90.9,43.112,13.4,11339.8,-0.31,42.84
2.5,0.5,5.5,0,11,90.9,11.886,14.54,11453.7,-1.31,11.074
2.5,0.5,6.0,18,11,54.5,5.296,8.0,10800.17,-1.19,6.705
2.5,0.5,6.0,22,11,63.6,9.604,10.28,11027.54,-0.85,12.106
2.5,0.5,6.0,25,11,90.9,79.271,12.2,11220.18,-0.15,79.625
2.5,0.5,6.0,30,11,90.9,44.852,13.95,11395.15,-0.31,44.61
2.5,0.5,6.0,0,11,90.9,12.301,15.09,11509.19,-1.31,11.496
2.5,0.6,4.0,18,11,54.5,4.079,5.7,10569.79,-1.19,4.775
2.5,0.6,4.0,22,11,63.6,7.598,7.87,10786.99,-0.85,9.272
2.5,0.6,4.0,25,11,90.9,63.604,9.75,10975.43,-0.15,63.653
2.5,0.6,4.0,30,11,90.9,36.711,11.36,11135.55,-0.31,36.309
2.5,0.6,4.0,0,11,90.9,9.729,11.65,11165.08,-1.31,8.875
2.5,0.6,4.5,18,11,54.5,4.488,6.48,10647.88,-1.19,5.429
