entry_time,exit_time,direction,entry_price,exit_price,result,pnl_pct,dollar_pnl,equity
2026-01-07 14:00:00+00:00,2026-01-07 14:30:00+00:00,short,91613.29,91920.46,SL,-0.335,-135.79,9864.21
2026-01-08 02:30:00+00:00,2026-01-08 06:00:00+00:00,short,90804.79,90437.08,SL,0.405,67.1,9931.31
2026-01-08 08:30:00+00:00,2026-01-08 10:00:00+00:00,short,90294.3,89770.26,TP,0.58,98.47,10029.78
2026-01-08 11:00:00+00:00,2026-01-08 12:30:00+00:00,short,90198.91,89710.03,TP,0.542,97.61,10127.4
2026-01-21 08:30:00+00:00,2026-01-21 09:15:00+00:00,short,88894.26,89285.37,SL,-0.44,-128.9,9998.5
2026-01-21 11:45:00+00:00,2026-01-21 12:00:00+00:00,short,88687.13,88220.45,TP,0.526,96.48,10094.98
2026-01-21 12:00:00+00:00,2026-01-21 12:45:00+00:00,short,88203.75,88610.97,SL,-0.462,-127.19,9967.79
2026-01-29 08:30:00+00:00,2026-01-29 12:00:00+00:00,short,87980.35,87702.81,SL,0.315,51.8,10019.59
2026-01-30 01:00:00+00:00,2026-01-30 01:15:00+00:00,short,84007.23,83590.83,TP,0.496,94.92,10114.51
2026-01-30 07:15:00+00:00,2026-01-30 12:00:00+00:00,short,82561.15,83134.65,SL,-0.695,-118.62,9995.9
2026-02-01 02:15:00+00:00,2026-02-01 07:00:00+00:00,short,78525.62,78100.64,SL,0.541,41.92,10037.81
2026-02-03 14:30:00+00:00,2026-02-03 15:00:00+00:00,short,77697.15,77172.3,TP,0.675,103.18,10141.0
2026-02-04 13:15:00+00:00,2026-02-04 13:45:00+00:00,short,75753.95,75239.08,TP,0.68,104.38,10245.38
2026-02-05 14:45:00+00:00,2026-02-05 15:15:00+00:00,short,69347.79,67994.0,TP,1.952,120.19,10365.57
2026-02-11 02:45:00+00:00,2026-02-11 03:15:00+00:00,short,68665.52,68191.41,TP,0.69,107.05,10472.62
2026-02-11 11:30:00+00:00,2026-02-11 12:15:00+00:00,short,66884.95,67281.58,SL,-0.593,-125.92,10346.71
2026-02-12 06:30:00+00:00,2026-02-12 09:45:00+00:00,short,67170.6,67582.15,SL,-0.613,-123.73,10222.97
2026-02-17 07:15:00+00:00,2026-02-17 10:15:00+00:00,short,68181.03,67898.75,SL,0.414,62.36,10285.33
2026-02-23 21:15:00+00:00,2026-02-24 01:15:00+00:00,short,64528.47,63911.82,TP,0.956,112.42,10397.75
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14,62674.37,TP,0.714,108.13,10505.88
