entry_time,exit_time,direction,entry,exit,dollar_pnl,equity,result,max_runup,bars,pnl_pct,year
2002-11-21,2002-11-25,long,1.3802132606506348,1.3358918167122402,-103.67691776622391,9896.323082233775,SL,0.02105414867401123,2,-3.211202587453865,2002
2003-07-25,2003-08-04,long,1.96768319606781,1.911528095439804,-103.06507672581002,9793.258005507965,SL,0.013030140640666099,6,-2.853868993760055,2003
2003-08-06,2003-09-11,long,1.9364084005355835,1.942830204963684,6.1272395964120765,9799.385245104377,MB,0.08476722240447998,25,0.3316348155856174,2003
2004-12-09,2005-01-06,long,2.6165170669555664,2.694530323004682,219.312499528607,10018.697744632984,TP,0.0982060432434082,19,2.9815687821936305,2004
2005-01-14,2005-02-16,long,2.7352936267852783,2.684148786230809,-106.55662352110387,9912.14112111188,SL,0.046278048380318904,22,-1.8698117106564054,2005
2005-07-08,2005-08-12,long,2.4217493534088135,2.520461320877075,132.689080914806,10044.830202026686,MB,0.12932496808629823,25,4.076060444872894,2005
2006-05-24,2006-06-29,long,2.6703081130981445,2.7487926483154297,204.58449921808926,10249.414701244776,MB,0.08614923263886975,25,2.9391565277546134,2006
2006-07-17,2006-08-04,long,2.8246254920959473,2.9604249000549316,249.95394677603153,10499.368648020807,TP,0.1590793724870161,14,4.8076960410853475,2006
2006-09-11,2006-10-13,long,3.1588432788848877,3.345784451917259,239.87070344395826,10739.239351464765,TP,0.22463567897241798,24,5.918026205414146,2006
2009-07-21,2009-07-30,long,1.8849138021469116,2.0744299175096343,247.44117428498342,10986.680525749749,TP,0.246940016746521,7,10.054365093346146,2009
2011-04-01,2011-05-09,long,2.4263551235198975,2.542511224746704,129.40275662025317,11116.083282370002,MB,0.12082548454136877,25,4.787267127587644,2011
2012-10-11,2012-10-15,long,2.341949939727783,2.2939727180109557,-117.60555394467859,10998.477728425323,SL,0.01511055092503355,2,-2.048601505222786,2012
2013-02-22,2013-03-25,long,2.173631429672241,2.3100422544565564,251.57003697631583,11250.04776540164,TP,0.1364216144345387,21,6.275710910422583,2013
2013-09-23,2013-10-22,long,2.5828933715820312,2.7050377069640352,255.6825201279563,11505.730285529597,TP,0.20650013985569915,21,4.728973202141525,2013
2015-04-02,2015-05-04,long,2.5412251949310303,2.666087169151128,261.7492618468983,11767.479547376495,TP,0.13541055123427714,21,4.913455701177494,2015
2016-04-22,2016-05-06,long,2.349454879760742,2.501452028082642,269.31678420029033,12036.796331576785,TP,0.16803491739606846,10,6.469464454553753,2016
2016-08-11,2016-08-22,long,2.758859634399414,2.656489517913634,-124.18842129990003,11912.607910276885,SL,0.06709110250743455,7,-3.7105953202314885,2016
2017-02-08,2017-02-28,long,2.7481849193573,2.844380517474549,268.2648925065811,12180.872802783466,TP,0.1000967025756836,13,3.5003320715312696,2017
2017-11-10,2017-11-15,long,3.0911757946014404,3.0566909070064576,-134.83815410808285,12046.034648675382,SL,0.010917230952971924,3,-1.1155912793833551,2017
2018-04-04,2018-05-09,long,3.430694580078125,3.5639703273773193,220.4942907892526,12266.528939464635,MB,0.14224181501842637,25,3.8848036217831825,2018
2019-04-30,2019-05-06,long,3.380166530609131,3.348486375735611,-138.2972613838267,12128.231678080809,SL,0.03300428873825023,4,-0.9372365114748044,2019
2019-08-08,2019-08-14,long,3.422926902770996,3.3451330661773677,-178.30530829156388,11949.926369789246,SL,0.020270456012550397,4,-2.272728539153178,2019
2020-09-09,2020-09-17,long,4.158760070800781,4.061777316679145,-125.57672462732421,11824.349645161921,SL,0.03670543280626859,6,-2.332011283905629,2020
2021-03-08,2021-04-13,long,5.356531143188477,5.603423118591309,157.04311976898663,11981.392764930908,MB,0.29214725629343086,25,4.6091765137366405,2021
2024-09-11,2024-10-09,long,5.7226972579956055,5.974597574990188,271.7766453841538,12253.169410315062,TP,0.336371745525998,20,4.401776044375472,2024
2025-01-14,2025-02-20,long,6.95750617980957,7.340534687042236,237.89893074022444,12491.068341055287,MB,0.4076054824686963,25,5.505255724302492,2025
2025-08-20,2025-09-15,long,7.394205093383789,7.636350279167353,280.60333674438965,12771.671677799675,TP,0.24948595160002895,17,3.274796718855308,2025
2025-10-13,2025-10-17,long,7.8108673095703125,7.684810486979264,-137.13655008053283,12634.535127719142,SL,0.02786394786799562,4,-1.613864601650535,2025
