entry_time,exit_time,direction,entry,exit,pnl,equity,exit_reason
2024-05-08 13:30:00+00:00,2024-05-10 15:30:00+00:00,long,7.57390022277832,7.629700183868408,175.62696751973417,10175.626967519735,SL
2024-06-05 15:30:00+00:00,2024-06-06 18:30:00+00:00,long,7.598499774932861,7.657700061798096,232.073395985709,10407.700363505444,SL
2024-09-27 15:30:00+00:00,2024-09-30 16:30:00+00:00,long,7.614699840545654,7.687300205230713,365.31994743064746,10773.020310936092,SL
2024-10-03 13:30:00+00:00,2024-10-04 15:30:00+00:00,long,7.710000038146973,7.738399982452393,133.3145655164854,10906.334876452578,SL
2024-10-07 15:30:00+00:00,2024-10-07 18:30:00+00:00,long,7.747300148010254,7.728195506576836,-202.58832195262033,10703.746554499958,SL
2024-10-09 13:30:00+00:00,2024-10-09 19:30:00+00:00,long,7.780099868774414,7.840099811553955,383.0138136009427,11086.7603681009,SL
2024-11-29 14:30:00+00:00,2024-12-02 20:30:00+00:00,long,8.979999542236328,9.11258586772115,538.1927706183566,11624.953138719256,SL
2024-12-06 14:30:00+00:00,2024-12-06 16:30:00+00:00,long,9.265000343322754,9.227783705843482,-188.6348262170527,11436.318312502204,SL
2025-03-12 14:30:00+00:00,2025-03-12 17:30:00+00:00,short,7.740099906921387,7.800424544547565,-165.05022241853396,11271.26809008367,SL
2025-06-06 13:30:00+00:00,2025-06-06 16:30:00+00:00,long,7.960000038146973,7.919694734874318,-174.19620100109503,11097.071889082574,SL
2025-10-07 18:30:00+00:00,2025-10-08 16:30:00+00:00,long,8.395000457763672,8.48550033569336,608.1393510779068,11705.21124016048,SL
2025-10-21 13:30:00+00:00,2025-10-22 18:30:00+00:00,short,8.156499862670898,8.090707943665766,219.9881913967629,11925.199431557245,SL
2025-11-20 16:30:00+00:00,2025-11-21 15:30:00+00:00,short,8.12969970703125,8.035115389010269,279.89836064840165,12205.097792205646,SL
