adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
35,1.5,0.2,2.0,3.0,11,10,1,9,1,1,90.9,11.37,-1.18,9.64
33,1.5,0.3,2.0,3.0,13,11,2,10,1,2,84.6,11.32,-2.26,5.01
33,1.2,0.3,2.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,0.3,3.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,0.3,4.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
35,1.5,0.3,2.0,3.0,11,10,1,9,1,1,90.9,11.29,-1.18,9.58
28,1.5,0.5,3.0,3.0,24,13,11,0,13,11,54.2,11.27,-3.68,3.07
28,1.5,0.5,4.0,3.0,24,13,11,0,13,11,54.2,11.27,-3.68,3.07
35,1.2,0.3,4.0,2.0,11,9,2,0,9,2,81.8,11.24,-1.36,8.24
33,1.2,1.0,2.0,3.0,13,10,3,9,1,3,76.9,11.24,-2.33,4.83
35,1.2,0.3,2.0,2.0,11,9,2,0,9,2,81.8,11.24,-1.36,8.24
35,1.2,0.3,3.0,2.0,11,9,2,0,9,2,81.8,11.24,-1.36,8.24
35,0.9,0.2,2.0,3.0,12,8,4,7,1,4,66.7,11.2,-2.52,4.45
35,1.2,0.7,2.0,3.0,11,9,2,8,1,2,81.8,11.19,-1.36,8.2
28,1.5,0.3,2.0,3.0,26,17,9,13,4,9,65.4,11.18,-3.54,3.16
33,1.5,0.5,2.0,3.0,13,11,2,10,1,2,84.6,11.18,-2.26,4.95
35,1.5,0.5,2.0,3.0,11,10,1,9,1,1,90.9,11.15,-1.18,9.46
33,0.9,0.3,3.0,2.0,14,9,5,0,9,5,64.3,11.13,-3.64,3.06
33,0.9,0.3,4.0,2.0,14,9,5,0,9,5,64.3,11.13,-3.64,3.06
33,0.9,0.3,2.0,2.0,14,9,5,0,9,5,64.3,11.13,-3.64,3.06
35,0.9,0.3,2.0,3.0,12,8,4,7,1,4,66.7,11.08,-2.52,4.4
33,1.2,0.2,4.0,3.0,13,7,6,0,7,6,53.8,11.07,-3.48,3.18
33,1.2,0.2,3.0,3.0,13,7,6,0,7,6,53.8,11.07,-3.48,3.18
33,0.9,1.0,2.0,3.0,14,9,5,8,1,5,64.3,11.03,-3.64,3.03
33,1.5,0.7,2.0,3.0,13,11,2,10,1,2,84.6,11.03,-2.26,4.88
35,1.5,0.7,2.0,3.0,11,10,1,9,1,1,90.9,11.0,-1.18,9.33
35,0.9,0.7,3.0,3.0,11,6,5,0,6,5,54.5,10.94,-2.52,4.35
35,0.9,0.7,4.0,3.0,11,6,5,0,6,5,54.5,10.94,-2.52,4.35
35,1.2,1.0,2.0,3.0,11,9,2,8,1,2,81.8,10.92,-1.36,8.0
33,1.0,0.7,3.0,3.0,13,7,6,0,7,6,53.8,10.9,-3.58,3.05
33,1.0,0.7,4.0,3.0,13,7,6,0,7,6,53.8,10.9,-3.58,3.05
30,1.2,0.2,4.0,2.0,19,12,7,0,12,7,63.2,10.89,-3.49,3.12
30,1.2,0.2,2.0,2.0,19,12,7,0,12,7,63.2,10.89,-3.49,3.12
30,1.2,0.2,3.0,2.0,19,12,7,0,12,7,63.2,10.89,-3.49,3.12
35,0.9,0.5,2.0,3.0,12,8,4,7,1,4,66.7,10.84,-2.52,4.31
35,1.5,0.3,2.0,2.0,11,10,1,0,10,1,90.9,10.83,-1.18,9.19
35,1.5,0.3,4.0,2.0,11,10,1,0,10,1,90.9,10.83,-1.18,9.19
35,1.5,0.3,3.0,2.0,11,10,1,0,10,1,90.9,10.83,-1.18,9.19
35,1.1,0.2,4.0,3.0,11,6,5,0,6,5,54.5,10.83,-2.42,4.47
