preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.5,25,2.5,23,56.5,2.173,23.65,12365.36,-8.0,2.957
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.5,0.1,25,2.5,23,56.5,2.073,23.65,12365.1,-5.64,4.192
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.0,0.1,25,2.5,23,56.5,2.073,23.65,12365.1,-5.64,4.192
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.2,20,2.0,23,65.2,2.428,23.63,12363.32,-6.31,3.746
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.2,20,2.5,23,65.2,2.336,23.59,12358.6,-5.96,3.957
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.4,20,2.0,23,65.2,2.43,23.58,12358.04,-6.31,3.737
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,20,1.5,23,65.2,2.625,23.57,12356.8,-5.96,3.957
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.5,25,2.5,23,60.9,2.181,23.56,12355.81,-5.64,4.176
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.1,25,2.0,23,60.9,2.284,23.52,12352.14,-5.0,4.702
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.4,20,2.0,23,65.2,2.424,23.49,12348.55,-6.31,3.722
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.1,20,2.5,23,60.9,2.227,23.49,12348.88,-6.28,3.741
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.1,20,2.5,23,60.9,2.227,23.49,12348.88,-6.28,3.741
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.3,0,2.5,23,56.5,2.001,23.48,12348.11,-9.48,2.476
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.3,25,2.5,23,60.9,2.178,23.46,12345.89,-5.64,4.158
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.2,20,2.5,23,65.2,2.329,23.45,12345.32,-5.96,3.935
