entry_time,exit_time,direction,entry,exit,dollar_pnl,equity,result,max_runup,bars,pnl_pct,year
2014-11-07,2014-11-10,short,342.4150085449219,371.6732612127759,-101.46438328603726,9898.535616713963,SL,0.261016845703125,3,-8.544675886780123,2014
2014-11-20,2014-12-16,short,357.8399963378906,335.7814357609811,48.55891319539296,9947.094529909356,TP,30.777984619140625,26,6.164364185852699,2014
2015-01-28,2015-02-01,short,233.9149932861328,212.01651331529231,49.12779720504984,9996.222327114407,TP,21.899993896484375,4,9.361725669313351,2015
2015-11-26,2015-11-29,long,352.6839904785156,371.2293150818604,48.81050958313352,10045.032836697541,TP,19.2550048828125,3,5.258340356811438,2015
2017-03-09,2017-03-10,long,1188.489990234375,1189.3599853515625,-0.6831360430020177,10044.349700654539,SL,81.97998046875,1,0.07320172019420487,2017
2017-03-11,2017-03-13,long,1175.8299560546875,1229.4741051817732,48.87063852088324,10093.220339175421,TP,61.5400390625,2,4.5622369842558035,2017
2017-09-05,2017-09-07,long,4376.52978515625,4648.358153683052,49.46079621952,10142.681135394942,TP,278.51025390625,2,6.21104806481048,2017
2017-11-13,2017-11-15,long,6559.490234375,7062.605869114767,49.88955186902337,10192.570687263966,TP,782.759765625,2,7.670041676458187,2017
2017-11-15,2017-11-16,long,7315.5400390625,7819.996137523543,50.04540974098069,10242.616097004946,TP,651.83984375,1,6.895678183256727,2017
2018-01-02,2018-01-05,long,14982.099609375,16728.400068683783,50.65510352398942,10293.271200528936,TP,2723.099609375,3,11.655912754818695,2018
2018-12-25,2019-01-13,short,3815.49072265625,3570.98847938119,50.53346844351368,10343.804668972449,TP,270.5634765625,19,6.4081467115937265,2018
2020-02-18,2020-02-25,long,10141.99609375,9495.616997611372,-105.32357456519601,10238.481094407252,SL,49.6796875,7,-6.373292694689149,2020
2021-08-06,2021-08-08,long,42816.5,45103.175197759134,50.01143678891831,10288.49253119617,TP,2465.8515625,2,5.340640168531136,2021
2021-10-28,2021-11-02,long,60622.13671875,63562.92437228743,50.13905973399396,10338.631590930165,TP,3620.65625,5,4.851012868749422,2021
2021-11-02,2021-11-08,long,63226.40234375,66054.55285186005,50.27535345981419,10388.906944389979,TP,4447.33984375,6,4.473053033658198,2021
2021-12-28,2022-01-05,short,47588.85546875,45899.359375,35.949039741116366,10424.855984131094,SL,4790.6328125,8,3.5501927438860874,2021
2022-06-01,2022-06-11,short,29799.080078125,28238.508589907116,50.961180040710744,10475.817164171805,TP,1562.8671875,10,5.236978739365424,2022
2022-07-10,2022-07-12,short,20860.44921875,19728.81266192714,51.25185371512589,10527.069017886932,TP,1551.91796875,2,5.424794763315606,2022
2023-02-15,2023-02-16,long,24307.841796875,25009.876229300044,50.41677432928191,10577.485792216214,TP,826.275390625,1,2.888098574490874,2023
2023-08-31,2023-09-11,short,25931.47265625,25175.09069382672,50.743357679981635,10628.229149896195,TP,1001.17578125,11,2.9168492374110317,2023
2023-11-22,2023-12-01,long,37432.33984375,38697.51876236134,51.222542213224514,10679.45169210942,TP,1521.76953125,9,3.3799087203536984,2023
2023-12-13,2023-12-22,long,42890.7421875,44338.70928799254,51.46718136243181,10730.918873471852,TP,1477.21484375,9,3.3759432144182693,2023
2024-03-20,2024-04-08,long,67913.671875,71893.50779502522,52.52369887333707,10783.44257234519,TP,4801.6875,19,5.860139512630668,2024
2024-12-06,2024-12-15,long,99920.7109375,104020.24146230149,52.307868424565626,10835.750440769754,TP,5126.828125,9,4.102783583441207,2024
2025-11-12,2025-11-14,short,101663.1875,97771.64816337613,52.51281033238432,10888.263251102138,TP,7662.453125,2,3.8278746046831076,2025
2025-12-12,2025-12-15,short,90270.4140625,86631.39263622767,52.85340026219564,10941.116651364335,TP,4966.3359375,3,4.031244859199165,2025
2026-01-20,2026-01-29,short,88310.90625,89169.8515625,-21.92855316210224,10919.188098202232,SL,5060.3046875,9,-0.9726378643068223,2026
