trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
122,39.3,0.577,-31.44,-33.25,-0.946,24,76,22,3.5,2.0,48
159,30.2,0.372,-40.65,-42.94,-0.947,1,42,116,6.0,2.5,12
134,29.1,0.507,-38.22,-40.33,-0.948,1,76,57,6.0,2.0,24
121,40.5,0.588,-33.44,-35.19,-0.95,26,95,0,3.5,2.0,0
158,30.4,0.368,-35.87,-37.76,-0.95,1,32,125,6.0,3.0,12
159,30.2,0.369,-40.85,-42.89,-0.953,3,40,116,5.0,2.5,12
158,30.4,0.365,-32.2,-33.73,-0.954,1,28,129,6.0,3.5,12
158,30.4,0.365,-36.05,-37.76,-0.955,3,30,125,5.0,3.0,12
134,29.1,0.503,-38.53,-40.36,-0.955,5,72,57,5.0,2.0,24
126,41.3,0.55,-33.62,-35.23,-0.955,37,68,21,3.0,2.0,48
158,30.4,0.368,-28.52,-29.79,-0.957,1,20,137,6.0,4.0,12
158,30.4,0.362,-32.36,-33.73,-0.959,3,26,129,5.0,3.5,12
125,41.6,0.545,-36.9,-38.42,-0.96,41,84,0,3.0,2.0,0
122,37.7,0.485,-30.81,-32.05,-0.961,34,45,43,3.0,2.5,36
158,30.4,0.365,-28.66,-29.79,-0.962,3,18,137,5.0,4.0,12
139,28.1,0.514,-43.49,-45.11,-0.964,18,77,44,4.0,1.5,24
135,37.8,0.561,-41.08,-42.63,-0.964,42,93,0,3.0,1.5,0
159,30.2,0.352,-41.71,-43.23,-0.965,12,31,116,4.0,2.5,12
125,34.4,0.516,-35.83,-36.97,-0.969,24,67,34,3.5,2.0,36
158,30.4,0.348,-36.83,-38.0,-0.969,12,21,125,4.0,3.0,12
136,36.8,0.527,-42.57,-43.87,-0.971,38,82,16,3.0,1.5,48
158,30.4,0.345,-33.07,-33.95,-0.974,12,17,129,4.0,3.5,12
132,34.1,0.444,-33.91,-34.73,-0.976,34,35,63,3.0,2.5,24
159,30.8,0.345,-41.43,-42.34,-0.979,15,29,115,3.5,2.5,12
158,31.0,0.342,-36.47,-37.09,-0.983,15,19,124,3.5,3.0,12
134,29.1,0.475,-40.05,-40.75,-0.983,18,58,58,4.0,2.0,24
170,27.1,0.358,-58.45,-59.39,-0.984,1,82,87,6.0,1.5,12
132,45.5,0.516,-38.15,-38.7,-0.986,54,78,0,2.5,2.0,0
139,29.5,0.485,-44.85,-45.45,-0.987,24,72,43,3.5,1.5,24
133,43.6,0.506,-36.01,-36.46,-0.988,47,66,20,2.5,2.0,48
143,39.9,0.491,-46.36,-46.86,-0.989,51,92,0,2.5,1.5,0
170,27.1,0.356,-58.7,-59.33,-0.989,4,79,87,5.0,1.5,12
144,38.2,0.463,-47.38,-47.87,-0.99,45,84,15,2.5,1.5,48
